,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3,flux_radius_4,ivar_radius_4,flux_radius_5,ivar_radius_5,flux_radius_6,ivar_radius_6,flux_radius_7,ivar_radius_7
2047,5076.295911191893,0,6.622168183326721,18.887384632904187,10.575322568416595,14.464585683633493,9.080769419670105,15.108787962849782,17.668066024780273,10.54655436263216,25.38263165950775,8.47344718973574,12.986098259687424,11.148316263695087,34.40467147529125,6.159509491103309
2048,5077.464906101516,0,6.41645359992981,18.89319012263776,10.288875877857208,14.463715175339663,8.917111784219742,15.094546883937179,17.409108728170395,10.534220638876057,25.32502916455269,8.434556329489208,13.013717398047447,11.088444078452808,34.78372448682785,6.114383909677852
2049,5078.634170213152,0,6.657310962677002,18.817834776484954,10.653293132781982,14.396013170471155,9.188173830509186,15.019559429803838,17.89640685915947,10.488422205069092,25.71416085958481,8.435004375811399,13.069153040647507,11.118402847765733,34.16313689947128,6.151634372843542
2050,5079.803703588804,0,6.654958486557007,18.73223907057432,10.616954803466797,14.366353379476003,9.088568091392517,15.06097840506795,17.62405613064766,10.54852393664007,25.17623260617256,8.494931990602838,12.81804609298706,11.184558070069247,33.97684779018164,6.170468783429657
2051,5080.973506290467,0,6.279285669326782,19.10398267224594,10.055082559585571,14.634488688606622,8.705376237630844,15.29179971621122,16.982398211956024,10.68046926656897,24.76178514957428,8.547971738302271,12.737915232777596,11.233658577508441,33.98598928749561,6.191843549011951
2052,5082.143578380175,0,6.47022271156311,19.154073863437706,10.382767081260681,14.654052511217886,9.041384607553482,15.268424016808428,17.76792213320732,10.651816596068256,25.950097635388374,8.501597401831912,13.397966533899307,11.156895024699255,35.30616547167301,6.165484917915798
2053,5083.313919919955,0,6.658971667289734,18.74501567703165,10.647952258586884,14.360691849374303,9.173248916864395,15.040900122269887,17.856144845485687,10.55409650440062,25.844490230083466,8.489318305916877,13.26217132806778,11.187908514497993,35.16820012778044,6.1829532365523585
2054,5084.484530971865,0,6.742552399635315,18.803287336083336,10.765719592571259,14.424442246080009,9.222141563892365,15.129579852312208,17.84196040034294,10.62338233399308,25.597618520259857,8.524611867630501,13.094340354204178,11.190169484766113,35.0068486854434,6.1439090168653525
2055,5085.655411597965,0,6.460618615150452,18.83474984693495,10.32460105419159,14.442467339969042,8.888572722673416,15.143742035422333,17.273250222206116,10.632979974181055,25.10001428425312,8.530936539319384,13.007320031523705,11.191613546149911,35.035496816039085,6.148508639600594
2056,5086.82656186033,0,6.4438817501068115,19.09013179007765,10.2961967587471,14.623657760957512,8.85792100429535,15.276717542029516,17.18753755092621,10.685773159353054,24.886555910110474,8.521688842512004,12.790454462170601,11.164508721497125,34.096625216305256,6.158971760993864
2057,5087.997981821062,0,6.818158984184265,18.54115466231459,10.927161157131195,14.194744672414503,9.453720837831497,14.871249712977768,18.448167473077774,10.446422803115656,26.5415011793375,8.442439997870686,13.516315996646881,11.162256970717214,35.43127519637346,6.1743968807947125
2058,5089.1696715422595,0,6.6105735301971436,18.940862337360237,10.582808554172516,14.48478550959124,9.132863283157349,15.144131644153713,17.801808685064316,10.612538938388331,25.64605164527893,8.515631897811375,13.152838215231895,11.200483252243297,35.28559893369675,6.177287366408872
2059,5090.341631086054,0,6.861112475395203,18.570480487455004,10.963463604450226,14.209035215930093,9.41553983092308,14.896405264724883,18.333384454250336,10.45619143512448,26.327685713768005,8.436614055902488,13.455772176384926,11.122357061151977,35.53846623748541,6.155307711839708
2060,5091.51386051457,0,6.873621702194214,18.552464088857963,11.00252616405487,14.202551268029573,9.485218614339828,14.883676768471405,18.497219502925873,10.442139346516068,26.63995335996151,8.382843962008769,13.583957925438881,11.033590493766999,35.72206585854292,6.1032855668633585
2061,5092.686359889971,0,6.663490176200867,18.723431728926496,10.687423646450043,14.30879112562723,9.277582973241806,14.934022067058638,18.216449588537216,10.438651819446882,26.536290854215622,8.38171946803218,13.74166065454483,11.027266904446957,36.857458144426346,6.083361506449956
2062,5093.85912927441,0,7.098974108695984,18.322731814683856,11.319427907466888,14.039903970503833,9.631031960248947,14.754211728823519,18.56466519832611,10.391658572715412,26.512006416916847,8.383315333830572,13.557804867625237,11.037874457075144,36.520159378647804,6.064410774050499
2063,5095.032168730076,0,7.105865240097046,18.387710991407417,11.348828077316284,14.092000423724958,9.702931642532349,14.807644516699256,18.746553391218185,10.413167568729259,26.814892455935478,8.389019076031978,13.62955518066883,11.044284136020417,36.146545588970184,6.079963439296816
2064,5096.205478319152,0,6.705238699913025,18.597594113561673,10.745196759700775,14.210783890278282,9.288365691900253,14.823414795260447,18.127030581235886,10.369324289530955,26.156081274151802,8.334984927174121,13.389835834503174,10.993994738459703,35.752553798258305,6.08255717965459
2065,5097.379058103856,0,6.625511050224304,18.730603166532042,10.602347671985626,14.334143336598487,9.147958368062973,15.002849297695574,17.846635729074478,10.519050350825502,25.801238536834717,8.433482052957977,13.26744993031025,11.067540762241801,35.30062732100487,6.085768522841179
2066,5098.5529081464,0,6.522517442703247,18.76420851615468,10.440535962581635,14.365734384081824,9.030753910541534,15.009015283180023,17.701120018959045,10.496402217374051,25.90097427368164,8.381002130490304,13.518843248486519,10.972973247454876,36.48828998953104,6.043361103836358
2067,5099.727028509032,0,6.646360754966736,18.706251120337853,10.641978085041046,14.323328811812921,9.181464225053787,14.98483561454732,17.8727685213089,10.517002467984131,25.939347624778748,8.430306346727676,13.357812747359276,11.070290209662375,36.0458984747529,6.077938753213814
2068,5100.90141925399,0,6.621465563774109,18.802072002974946,10.584670841693878,14.386201067222887,9.083526343107224,15.034065588023664,17.573566675186157,10.54593458087106,25.339208021759987,8.444310086639607,12.917457669973373,11.08976251133621,34.18075839430094,6.111249185297494
2069,5102.0760804435495,0,6.37342631816864,18.883370894983365,10.207970380783081,14.440149533642163,8.81636381149292,15.064430719186394,17.176422774791718,10.548675644278468,24.852498337626457,8.45397355262882,12.783796414732933,11.105715239448283,34.30585812032223,6.109530015949503
2070,5103.251012139982,0,6.680830717086792,18.68440415378048,10.708652973175049,14.295020311005658,9.272974103689194,14.909496670769386,18.073931217193604,10.436699373950646,26.15501894056797,8.35416849143766,13.385275602340698,10.978894212943441,35.324078381061554,6.063548360814192
