,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3
2052,5657.668379399586,0,12.053483486175537,12.658649807732056,96.6893482208252,4.292187353386509,144.61286050081253,3.181818574776856
2053,5658.971255680153,0,11.496263027191162,12.896447692173938,93.24676096439362,4.35839630597457,140.96290320158005,3.206588157144571
2054,5660.274431993617,0,11.846383929252625,12.742379162194286,95.65923011302948,4.306967653185394,142.37073490023613,3.1862922339606286
2055,5661.5779084090655,0,11.92941701412201,12.6605488603341,95.21414279937744,4.303754149003821,139.73853078484535,3.1887762074098105
2056,5662.881684995601,0,12.144027590751648,12.681211312034891,96.91124320030212,4.310392491574879,143.96119114756584,3.180359510192253
2057,5664.185761822361,0,11.877691745758057,12.77646258513199,96.2528275847435,4.312864324024599,148.13559558987617,3.164374937308864
2058,5665.490138958475,0,12.016333818435669,12.717196100061535,96.61861509084702,4.300379245698965,145.59891548752785,3.160013604605367
2059,5666.79481647311,0,12.354636669158936,12.553686930733669,99.40277242660522,4.260541624343725,149.70199501514435,3.14313466372337
2060,5668.099794435428,0,11.951601028442383,12.661057567078123,97.05212247371674,4.264265594026779,147.5539349913597,3.1341416154766986
2061,5669.405072914629,0,11.897070169448853,12.735490540612282,97.17350488901138,4.266755972662936,148.03664976358414,3.1294741598161826
2062,5670.710651979906,0,12.03898298740387,12.565631350500432,98.01147204637527,4.241902425481098,147.90724593400955,3.1194015033348523
2063,5672.016531700491,0,12.324458003044128,12.459202056306502,99.4206713438034,4.221852960831551,150.45139774680138,3.104866924378811
2064,5673.322712145609,0,12.478088021278381,12.407788461781513,100.58725190162659,4.20485894716379,151.9193066060543,3.0993048039227724
2065,5674.629193384523,0,12.441701412200928,12.400870706893851,100.5640259385109,4.189205565436859,150.96937415003777,3.088127485424608
2066,5675.935975486492,0,12.481481790542603,12.459468532089199,102.07324779033661,4.181391515310253,153.6140332520008,3.0869603726729844
2067,5677.24305852081,0,12.8813157081604,12.213096759607197,103.25639510154724,4.157082861546701,154.0726648569107,3.08189586157123
2068,5678.550442556766,0,12.993975639343262,12.174061551918538,102.95751988887787,4.161479134763546,152.19555968046188,3.081178609205441
2069,5679.858127663687,0,12.790390491485596,12.301596068690984,102.46823841333389,4.168879591599989,151.91291564702988,3.076593598404151
2070,5681.166113910895,0,12.468462109565735,12.30898470106272,101.0104050040245,4.170828169308558,153.7599772810936,3.0607630553606655
2071,5682.474401367748,0,11.977262377738953,12.575230908181647,97.44902497529984,4.233356440534871,150.89160811901093,3.0627715191940608
2072,5683.7829901036,0,12.03530216217041,12.559685138922804,97.41518771648407,4.232044353393041,148.97435143589973,3.0823299473238386
2073,5685.0918801878415,0,11.847890257835388,12.529186811741047,96.5795511007309,4.227259452789878,150.4373363852501,3.063319304239286
2074,5686.401071689859,0,12.095851302146912,12.377064631297078,97.83942759037018,4.200451203064844,151.1629204750061,3.0598140247139183
2075,5687.710564679073,0,12.227080941200256,12.383508987309819,98.47458583116531,4.1712032738455935,147.67843410372734,3.069795750439491
2076,5689.020359224904,0,11.854732513427734,12.51170880656605,96.58815485239029,4.213861818708385,145.60777413845062,3.076779616513164
2077,5690.330455396803,0,11.69226884841919,12.493551461522054,95.17827123403549,4.210689659000943,146.72141855955124,3.066863084964039
2078,5691.640853264225,0,12.263262152671814,12.347746311805171,100.0287663936615,4.158314008702008,152.3000485599041,3.035723680362336
2079,5692.951552896644,0,12.73500680923462,12.232139295012317,103.25227296352386,4.1160666923598965,151.77785220742226,3.036037839522543
2080,5694.2625543635595,0,12.63844084739685,12.148656588830471,101.98305666446686,4.1077300031537725,150.98123481869698,3.02969613203285
2081,5695.57385773447,0,12.509943962097168,12.176027464081535,100.9166652560234,4.114935430840935,150.0363439321518,3.027567366861825
2082,5696.885463078909,0,11.974244356155396,12.342618885709937,97.98564785718918,4.144044014000662,149.09058660268784,3.0309160104059902
2083,5698.197370466408,0,12.61105728149414,12.153775760044908,100.78117138147354,4.1182386018217105,150.1645991206169,3.025097738266641
2084,5699.509579966532,0,12.431541800498962,12.119260310986128,100.12626230716705,4.089351927845461,150.64565339684486,2.9835830815201856
2085,5700.8220916488435,0,12.187611818313599,12.218899937773937,97.9637758731842,4.123426042210969,146.38126629590988,2.9944427454556957
2086,5702.134905582939,0,11.880009651184082,12.321328411201579,96.12553119659424,4.138268110545285,144.88763192296028,3.0040222604739295
2087,5703.448021838414,0,11.6964590549469,12.386453173024329,95.63447540998459,4.135430289438941,143.7378889620304,3.003690313796771
2088,5704.761440484899,0,11.892919182777405,12.247681543797643,96.32854497432709,4.138380743131134,146.38108453154564,3.011891057829661
2089,5706.075161592017,0,11.750038623809814,12.468827937654241,95.54728251695633,4.1668839061627985,146.14648002386093,3.018922528585335
2090,5707.3891852294355,0,11.744475483894348,12.301428349094492,95.60637992620468,4.144040366510438,144.89603918790817,3.028990090998706
2091,5708.703511466808,0,11.688149571418762,12.356291434234326,94.91412025690079,4.152944063743569,142.80946731567383,3.0071067864261063
2092,5710.018140373832,0,11.460078477859497,12.369227527325075,92.21074593067169,4.175520186777527,139.7191508114338,3.0386469025278178
2093,5711.333072020194,0,11.295783638954163,12.402994070488552,92.45181381702423,4.145331987858563,140.5672788321972,3.002355023161646
2094,5712.648306475624,0,11.35511839389801,12.17478280738251,92.38948804140091,4.074995023915407,141.80090868473053,2.9135995147846767
2095,5713.963843809842,0,11.851828455924988,11.516896526979881,94.25495111942291,3.895410308738339,138.03892010450363,2.8150807811155865
2096,5715.2796840926085,0,12.417729377746582,11.29182011978046,98.64714169502258,3.8042413562061883,142.31676298379898,2.7305357132223023
2097,5716.595827393682,0,12.285421371459961,11.367000702332705,99.05351012945175,3.816942998055777,149.30590590834618,2.725574707333316
2098,5717.912273782837,0,12.243708968162537,11.591050945378916,98.95339286327362,3.901511406495913,148.59143179655075,2.8091402127101013
2099,5719.229023329882,0,12.627713322639465,11.585123275654453,100.33753317594528,3.9467065500244702,147.14718157052994,2.8799609087093794
2100,5720.546076104617,0,12.430028676986694,11.762909833021288,100.10811704397202,3.955089595787078,149.60987615585327,2.871615687035038
2101,5721.863432176885,0,12.911103248596191,11.587489385784425,104.24510443210602,3.902303628924252,155.37499091029167,2.856493578708
