,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3,flux_radius_4,ivar_radius_4
3357,7583.954060180954,0,9.259907990694046,12.2273562606207,12.044103041291237,9.857800232062289,23.912321232259274,6.532587202104726,25.43170927837491,5.52788927699718
3358,7585.700531199633,0,8.711924895644188,16.318442782305613,11.442466616630554,13.41949832408361,23.031460247933865,9.084004623696947,24.219124481081963,7.915854110214575
3359,7587.447404404435,0,9.241913110017776,16.50467900335066,12.057152047753334,13.577041376818594,24.258275099098682,9.259394734659923,25.641353845596313,8.181763272213539
3360,7589.19467988796,0,8.6242006868124,14.182284039376727,11.635830655694008,11.545992555490841,24.0718811750412,7.696897841629211,25.718765035271645,6.569289592173478
3361,7590.942357742864,0,8.160500541329384,10.53348340553223,11.006509110331535,8.394895501022763,22.754881992936134,5.4793660338265076,23.12362765148282,4.589313877293917
3362,7592.6904380617925,0,9.201237142086029,6.5952123959537925,12.09803494811058,5.312621115836755,26.4549333229661,3.4371313048483225,30.435954995453358,2.8403560462679183
3363,7594.438920937442,0,9.880117282271385,6.458879070527177,13.409492388367653,5.152475511522698,28.81565670669079,3.3427608338421617,35.027274787425995,2.67177932282673
3364,7596.187806462498,0,9.283904805779457,8.975163996713501,11.98259188234806,7.368356241389143,23.314430437982082,4.8194950134876375,23.106624141335487,3.9696162101083465
3365,7597.937094729702,0,8.917468622326851,11.591414362175511,11.192499995231628,9.426199224506442,22.221193835139275,6.213215357436752,23.210345841944218,5.2429880802935385
3366,7599.68678583179,0,9.32488951086998,10.053303955994037,12.549185574054718,8.068917022563092,26.107100658118725,5.264724162259224,28.555337369441986,4.354693233497155
3367,7601.436879861523,0,9.967433854937553,9.139717811407552,12.90176808834076,7.554199505235351,26.203816033899784,5.002131362787705,28.502744287252426,4.195161985591823
3368,7603.187376911704,0,9.424342334270477,12.321014750194474,12.306966543197632,10.135935837850631,24.3340902402997,6.769593273969678,25.867122806608677,5.760461000134114
3369,7604.938277075127,0,8.507699891924858,15.010241283059951,11.182007893919945,12.527209470809664,22.638904929161072,8.51896647880431,23.822760194540024,7.442363290521843
3370,7606.689580444638,0,9.010474219918251,12.783209040031448,11.723059073090553,10.570141294711602,24.3649792522192,7.042868339016297,26.568572346121073,6.030392768791835
3371,7608.4412871130735,0,9.174904510378838,10.062606668586984,11.877461552619934,8.276836335069383,24.321257792413235,5.486489101631876,27.01681788638234,4.585873408406735
3372,7610.193397173323,0,9.281527057290077,8.24770775236704,12.48454037308693,6.838256518825527,25.304753839969635,4.543737864242976,28.21731812134385,3.7638057331229953
3373,7611.945910718268,0,9.529742911458015,9.85445246176989,12.818346321582794,7.8306494659765535,26.379667721688747,5.0943338063224575,29.499798960983753,4.30972521412
3374,7613.698827840838,0,8.792549416422844,14.177499854910575,11.738596498966217,11.34847527491505,23.278708815574646,7.580513159593253,24.02917068451643,6.607747605397548
3375,7615.452148633957,0,8.599046394228935,15.806956996232746,11.502990171313286,12.689285702722476,22.752733327448368,8.52559727415244,23.710099309682846,7.479744469801506
3376,7617.205873190599,0,9.141430675983429,11.970583968947992,11.7080457508564,9.617329290443482,22.588728070259094,6.366486928933945,24.411883234977722,5.320180776411929
3377,7618.960001603728,0,8.67815451323986,10.473408472458333,11.736686453223228,8.333642211789044,23.78237145394087,5.458740625506645,25.78739169239998,4.563382678609319
3378,7620.714533966366,0,8.431713938713074,10.584994352452608,11.500492110848427,8.599871366356894,23.949320890009403,5.68200225944463,26.83528656512499,4.68564573932123
3379,7622.469470371515,0,8.914434865117073,12.082397095500319,11.896385371685028,9.839460586213093,23.997038781642914,6.5496936109051385,26.042254328727722,5.44699094797034
3380,7624.224810912238,0,8.73659898340702,14.119393839999033,11.56308813393116,11.523400286197163,23.651037514209747,7.71785782581484,25.7104706838727,6.575020368875621
3381,7625.980555681589,0,8.86087541282177,13.455165216324259,11.530579939484596,11.01410202885125,23.347585171461105,7.37574651730584,24.495436523109674,6.287713730464397
3382,7627.736704772667,0,8.950434744358063,9.805136215291162,11.97754716873169,7.9038951575128005,24.389623127877712,5.17942596039699,25.88775558769703,4.311947318309216
3383,7629.493258278567,0,9.352541610598564,7.960125685104383,12.903138309717178,6.440868745927916,26.887314915657043,4.215488366800116,31.361818335950375,3.460619730623565
3384,7631.250216292436,0,8.755543485283852,10.350235740963697,11.866552636027336,8.460291709643371,24.79012793302536,5.588550386163324,26.83590107038617,4.653790395203148
3385,7633.007578907417,0,8.6951834410429,14.321910112992963,11.477865666151047,11.697963996037407,23.442611306905746,7.778715130896425,24.563859712332487,6.7218518641083955
3386,7634.765346216677,0,8.901411294937134,15.45680521969666,11.856656864285469,12.72216119418799,23.713275387883186,8.626099827439319,25.28209850937128,7.483940848628417
3387,7636.523518313419,0,8.664941892027855,16.20224711056483,11.38126602768898,13.286418133008368,23.179278641939163,8.911870560863179,24.957134753465652,7.669837867437659
3388,7638.282095290865,0,8.844653233885765,16.14913227681683,11.406908959150314,13.185362560699186,23.119953610002995,8.910538028818682,25.037275157868862,7.862063429443133
3389,7640.041077242249,0,8.791199535131454,16.667431658890713,11.456768348813057,13.554969280863306,23.344999611377716,9.070417893662952,24.83377856761217,8.040859386773878
3390,7641.80046426082,0,8.977584272623062,16.122165790666777,11.595168858766556,13.149200404131339,23.687931276857853,8.796573535832962,25.525944098830223,7.777223788813282
3391,7643.560256439874,0,9.164839535951614,15.973742871553398,11.906656324863434,12.938714293629669,24.33819665759802,8.628916593565567,25.85018103942275,7.617898866791431
3392,7645.320453872699,0,8.951670050621033,15.629140594654043,11.693209022283554,12.708815624095113,24.047734014689922,8.49737727587434,25.171980910003185,7.513826962292557
3393,7647.081056652635,0,9.028898388147354,15.297187341162223,12.080462917685509,12.408903716038138,24.567183829843998,8.381891566828825,25.464367255568504,7.455262476801259
3394,7648.842064873011,0,8.273637101054192,12.552640883337048,11.129926696419716,10.140696821810565,22.503468371927738,6.719335287714047,22.69428101927042,5.816671724674021
3395,7650.603478627209,0,8.863474890589714,7.221502595617719,12.215850487351418,5.763694668469521,25.442505851387978,3.747557034771977,27.68161052465439,3.096378609436437
3396,7652.365298008603,0,10.393562659621239,5.4165653587488825,13.905753761529922,4.405695394824357,29.270467713475227,2.879494658674513,33.688217133283615,2.349194341478213
