,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3,flux_radius_4,ivar_radius_4,flux_radius_5,ivar_radius_5,flux_radius_6,ivar_radius_6
3132,6987.855171153895,0,62.99185752868652,10.706435339112563,99.38110673427582,8.448435087649145,135.58586603403091,7.303277605105604,93.93598881363869,8.145537067965327,92.71583396196365,7.639409295247637,80.87414744496346,7.44846337106593
3133,6989.464369527501,0,62.44572067260742,10.767803813177645,98.69867742061615,8.47342464010893,134.7504259943962,7.3052864140840805,93.66667774319649,8.138845609062098,92.55985271930695,7.614991071104968,80.55332605540752,7.4522997711338625
3134,6991.073938475394,0,62.259398221969604,10.754369818018086,98.7089033126831,8.440036577011107,134.97919619083405,7.248837663631511,93.75751093029976,8.080080828966352,92.5776407122612,7.5910967712949535,80.42170053720474,7.3812767963431085
3135,6992.6838780829,0,62.60124886035919,10.734030354103416,99.26358544826508,8.428942213705792,135.9703905582428,7.224768453181205,94.33268120884895,8.04306729464221,92.65066957473755,7.56710377289463,79.97685757279396,7.377539492446703
3136,6994.294188435389,0,62.454692363739014,10.7136516795104,98.9979258775711,8.423766756255295,135.7046618461609,7.257359233338994,94.50306063890457,8.080372169111719,93.09747019410133,7.585084886760242,79.94089785218239,7.398895356374967
3137,6995.9048696182235,0,62.77726447582245,10.684085935055453,99.49994456768036,8.407211978176695,136.10893487930298,7.243137529936727,94.22292071580887,8.077097750765706,92.30054831504822,7.5869030323376965,79.31149038672447,7.4094612887308955
3138,6997.515921716815,0,62.71012628078461,10.665391060967616,99.46704602241516,8.375012019647363,136.03848218917847,7.2058868315948414,94.17593729496002,8.01645184913983,92.44347783923149,7.501904110663941,79.74419863522053,7.30187160436095
3139,6999.127344816565,0,62.36093235015869,10.650295402006584,99.02207398414612,8.351552773266217,135.76311552524567,7.154928285324286,94.22332075238228,7.930884304590186,92.78713974356651,7.40608397562077,80.41012200713158,7.20280503854037
3140,7000.739139002924,0,62.48049485683441,10.548813594637537,99.13732361793518,8.265167789184563,136.0685544013977,7.047162952836426,94.2308220565319,7.776005207218193,92.09485444426537,7.22765140331964,78.74619065225124,6.998675594196782
3141,7002.351304361335,0,62.013030767440796,10.494336077099,98.40998530387878,8.215184608462526,135.08194118738174,6.969934974713406,93.83460739254951,7.634800293798645,91.96676895022392,7.064864496767601,79.60068090260029,6.800984071590464
3142,7003.963840977285,0,62.66735649108887,10.35460530049182,99.02415359020233,8.109657263748936,134.9931772351265,6.866291193459999,93.00439119338989,7.489076562455162,90.83318635821342,6.8916743602568085,78.23287026584148,6.608329277245157
3143,7005.576748936257,0,62.539161682128906,10.26592757937981,98.7271409034729,8.039447993946938,134.2991628050804,6.800215512473313,92.66259831190109,7.371212152616144,90.68467089533806,6.750251414039756,77.86924463510513,6.455534015144956
3144,7007.190028323778,0,62.724841952323914,10.21506241365247,99.10248827934265,7.987413062381287,133.9407358765602,6.786330176254813,92.46350637078285,7.377306976608266,91.02841633558273,6.787618470201882,78.71124586462975,6.501100530061681
3145,7008.803679225378,0,61.95398199558258,10.141689732802197,98.6234542131424,7.8731687447815935,134.49440318346024,6.624267600511159,92.65956920385361,7.167454163791996,90.4554151892662,6.568732133458105,78.08557325601578,6.272347457741879
3146,7010.4177017266,0,62.20002639293671,9.87970853561823,98.61640524864197,7.638945720519656,133.55589717626572,6.35759506076523,91.71174922585487,6.795873211008724,90.28401479125023,6.143115194647807,77.69980895519257,5.806906369975209
3147,7012.032095913037,0,62.52697491645813,9.698130218913878,99.12116074562073,7.490494566294241,134.10131257772446,6.187516374010097,91.6060052216053,6.553598874396938,89.28879800438881,5.900838621114902,76.3875129967928,5.562676101993934
3148,7013.646861870264,0,62.5552362203598,9.968989647894647,98.94758176803589,7.76025920946966,133.46630555391312,6.506801169247396,91.43566966056824,6.9868807337979755,90.10423013567924,6.357658048538845,78.87425819039345,6.015497731273922
