,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3,flux_radius_4,ivar_radius_4,flux_radius_5,ivar_radius_5
2050,5652.2372560945905,0,8.272838056087494,15.480232013804866,38.55171376466751,6.843462208884108,91.11947983503342,4.345803726436505,121.4703608751297,3.5886017137538753,126.40845230221748,3.315102978353452
2051,5653.538881668814,0,8.355591535568237,15.46579731452735,38.9584738612175,6.8406732858581165,91.62873530387878,4.358307057558564,123.16034641861916,3.580450389521639,128.543050467968,3.3182842485749005
2052,5654.840806987914,0,8.4126478433609,15.457024946349632,38.947013556957245,6.842865147515291,90.86770629882812,4.3797924754001025,122.48105549812317,3.5989962164184397,127.74371290206909,3.315994079509439
2053,5656.14303212091,0,8.315034985542297,15.405284625981798,38.73633277416229,6.823611691296851,90.5345304608345,4.373212239795088,120.12248009443283,3.612443635581064,125.66103187203407,3.324152512309603
2054,5657.445557136853,0,8.219061136245728,15.584977640159941,38.1313219666481,6.894401364917611,88.4169310927391,4.401962651186103,116.57638803124428,3.6382006416144335,121.72971177101135,3.3546239163748135
2055,5658.748382104795,0,8.001883804798126,15.578948986575105,36.66898816823959,6.960477513476284,85.21474611759186,4.471458175061485,116.0829441845417,3.6623042599317253,122.03730335831642,3.3600664384076504
2056,5660.051507093807,0,7.877678453922272,15.819997179521538,36.73914909362793,7.006791822476105,85.99634444713593,4.458498339032726,114.9533723294735,3.659587938928527,121.21561881899834,3.353188076506106
2057,5661.354932172991,0,7.835322022438049,15.820002306663218,36.39622110128403,6.9911149391294884,84.79759520292282,4.460506007959211,113.62839064002037,3.6623695299381858,119.47328993678093,3.3719230796863804
2058,5662.658657411439,0,7.8203665018081665,15.806524314221452,36.76301258802414,6.98464599077715,87.22615718841553,4.434687672170465,117.64425757527351,3.646003604021734,123.23885443806648,3.3661238132682687
2059,5663.9626828782875,0,7.911578059196472,15.7911782863519,37.24887502193451,6.954079994961044,88.30926924943924,4.4009140091854935,117.91098412871361,3.6300678109385083,121.7528133392334,3.3596879059519424
2060,5665.267008642661,0,8.073658406734467,15.589559433791882,37.51615297794342,6.906302705070749,88.79239851236343,4.36631995360537,119.61198231577873,3.588671219035937,123.10157009959221,3.3318590409286575
2061,5666.571634773727,0,8.032098114490509,15.63829578386773,37.7361701130867,6.901884930055768,89.46269506216049,4.358510052040568,118.71326822042465,3.583837318726009,122.80906340479851,3.313300147900339
2062,5667.876561340643,0,8.207683682441711,15.438009276940447,38.12631893157959,6.844477644334833,89.62771815061569,4.353969851896104,118.941337287426,3.5997792670507804,123.60806077718735,3.3242159762406747
2063,5669.181788412607,0,8.18804121017456,15.548571986429087,38.22538012266159,6.864619470628544,89.79169517755508,4.3496206995663025,119.76897183060646,3.5730021028813654,124.87958753108978,3.280779253402397
2064,5670.487316058807,0,7.841279625892639,15.635499683517887,37.10303980112076,6.877954755728631,88.90715903043747,4.319457539782416,118.54441013932228,3.558966124663327,123.44897550344467,3.285297957919446
2065,5671.793144348474,0,8.4913649559021,15.254349445561902,39.07212483882904,6.773285012974692,90.96370553970337,4.30675723387135,122.4165370464325,3.5426252291467955,128.0160210132599,3.2597707423266056
2066,5673.099273350831,0,8.457528114318848,15.209679981138049,39.17012703418732,6.744958251305267,91.19618397951126,4.314077537368086,122.1410256922245,3.546918770666884,129.36033391952515,3.247176653257553
2067,5674.405703135139,0,8.31252771615982,15.295384355706654,38.73740839958191,6.76331124207651,91.33703339099884,4.295040204389127,123.02290803194046,3.526036042195112,129.59499728679657,3.236273107008306
2068,5675.712433770651,0,8.41914713382721,15.239957832472596,39.53737872838974,6.7178421572196605,93.7340824007988,4.266265015180569,126.25124850869179,3.502091023595176,130.64381790161133,3.2437141852568523
2069,5677.019465326659,0,8.615291357040405,15.106842741304112,40.15765541791916,6.675626410422086,93.7107104063034,4.260489232352017,124.7397972047329,3.5184516468944698,130.13054725527763,3.25177342585718
2070,5678.3267978724525,0,8.75518810749054,15.04543809839999,40.93355369567871,6.631919605728636,96.37336719036102,4.2127682441421355,128.82835054397583,3.4682896355733814,130.84034126996994,3.2211015467307758
2071,5679.634431477352,0,8.540398240089417,15.05830791027361,40.12429714202881,6.6568458553213565,95.80133813619614,4.196582998458021,128.08038347959518,3.466947538309073,131.61827686429024,3.2205331411873073
2072,5680.942366210679,0,8.46314537525177,15.197585101446549,39.70563358068466,6.695270405177325,93.49723637104034,4.259122938433932,123.78113776445389,3.512251458009404,127.28126722574234,3.2471670257133862
2073,5682.2506021417885,0,8.358590126037598,15.21601867812681,38.739245653152466,6.727169892346699,90.63520205020905,4.290905158197947,120.36043533682823,3.540595211554518,125.47087687253952,3.256444181021216
2074,5683.559139340032,0,8.182614624500275,15.386097128502023,38.36865520477295,6.779481112385744,90.77499043941498,4.2706740948387765,121.15187910199165,3.5167479962024415,128.9431253373623,3.2222136116618825
2075,5684.8679778747955,0,8.118150115013123,15.350623756823277,38.4015691280365,6.768124427647852,91.58814471960068,4.276732602292614,122.73399820923805,3.5084121123365253,126.65091317892075,3.2339481572030024
2076,5686.177117815464,0,8.174243986606598,15.379216003494939,38.16818654537201,6.764102428797071,89.42386037111282,4.282736692441861,119.29449272155762,3.514404383111403,124.52123150229454,3.230216147446199
2077,5687.486559231456,0,8.41357159614563,15.071447846647336,39.01200133562088,6.673016125712863,90.6182022690773,4.2798670173361,120.65262904763222,3.5299575031000727,126.45763000845909,3.2385601383905964
2078,5688.796302192191,0,8.031998872756958,15.372282915453551,38.03927928209305,6.750449682022247,90.60242199897766,4.259326338718821,122.04598146677017,3.4872886563005787,128.52861315011978,3.18705270891915
2079,5690.106346767107,0,8.130697309970856,15.242787818806095,37.82828766107559,6.748159712603026,89.09147369861603,4.282479722410025,120.38141387701035,3.508286085925302,127.07386600971222,3.2119671681383912
2080,5691.41669302567,0,8.258719801902771,15.171643990274482,38.37459093332291,6.7123837554444,89.87065643072128,4.257692108154413,120.22047817707062,3.5005669976070286,126.39367207884789,3.2050693344630092
2081,5692.727341037343,0,8.239175736904144,15.083823514652417,38.74548888206482,6.678063223396875,91.67002820968628,4.2114732126499135,121.44647857546806,3.292845953215392,123.7574028968811,3.029231908396757
