,Wavelength,Masked,flux_radius_1,ivar_radius_1,flux_radius_2,ivar_radius_2,flux_radius_3,ivar_radius_3,flux_radius_4,ivar_radius_4
664,4138.691546413043,0,4.232626557350159,16.62234106858244,36.53386728465557,5.443723638515655,67.193071231246,3.719062473060747,107.12851997464895,2.7236802564613405
665,4139.644625081998,0,4.003716796636581,16.83335817509478,36.21682123839855,5.481854035184213,68.55292375385761,3.7306833605935874,105.77736855298281,2.7435951617575625
666,4140.5979232306945,0,4.005740821361542,16.92863834357262,35.97067953646183,5.466789235831165,69.1323069781065,3.6941259655898757,105.54810117930174,2.7350726299211563
667,4141.55144090967,0,3.636796474456787,16.96700271749081,33.12973068654537,5.629515450304394,66.24279597401619,3.7669334804666135,103.58751131594181,2.737715027262402
668,4142.505178169488,0,4.028830289840698,16.926737040241036,34.18321342766285,5.6372155710026846,62.53635500371456,3.830543723894989,100.66640155017376,2.7691416045115695
669,4143.459135060708,0,3.497725486755371,17.13530454656414,31.32607653737068,5.719170198317153,61.24478033185005,3.84458946614953,96.5456466153264,2.797140096323197
670,4144.413311633914,0,3.4620346128940582,17.54119640230546,30.849522575736046,5.779617635048568,60.509843572974205,3.866727046930014,91.54970445483923,2.8261331705203068
671,4145.367707939688,0,3.8351589143276215,17.173880465551306,32.51118764281273,5.768712557148283,59.85464884340763,3.907510672530505,93.5639542862773,2.83463709205213
672,4146.32232402864,0,3.4218570590019226,17.645590454821818,31.28439064323902,5.823341257145194,61.39360636472702,3.9184403975765356,97.57210141420364,2.8540155259653828
673,4147.277159951372,0,4.070161759853363,17.091669296980843,34.56039887666702,5.779621059538419,62.94901183247566,3.958062960827076,98.18406854569912,2.8840749385859046
674,4148.2322157585195,0,3.9674115777015686,17.010438677490775,34.25330865383148,5.715351799173727,63.91356272995472,3.8886489532830506,100.59265966713428,2.839582952348711
675,4149.187491500709,0,3.7541655004024506,17.11249133110147,34.4043153077364,5.663116651413532,67.36061052978039,3.8184881817086316,105.66325309127569,2.785934919199892
676,4150.142987228597,0,3.7457211911678314,16.94253486275929,34.07545059919357,5.619256681697132,65.2086895108223,3.812039121224973,100.6822224855423,2.773510317005604
677,4151.098702992834,0,4.04435932636261,16.440253320999496,35.00135113298893,5.5615491339886765,65.01631845533848,3.8122788877584184,100.73720011860132,2.7636823577249348
678,4152.054638844101,0,3.774873733520508,16.881983698838766,32.26512795686722,5.723516778106685,61.01127104461193,3.862666333663826,97.32652532309294,2.783878238454154
