,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4
0,9.767666,2.5356658,3425.305748486219,7.78614616394043,2.0681915,3425.7410597796497,10.259108543395996,1.7451345,3425.778156579815,9.097487449645996,1.6064924,3425.4544648876436
1,11.723934,2.51297,3426.094545091842,16.631967544555664,2.0578737,3426.529956630943,21.326552391052246,1.74189,3426.567061973946,20.036563873291016,1.598359,3426.243295740426
2,13.025882,2.512904,3426.8835233455043,20.990443229675293,2.0494099,3427.3190351533603,26.603548049926758,1.7467778,3427.356149041168,20.550428867340088,1.6184355,3427.0323082491345
3,12.697152,2.520752,3427.6726832890436,22.098793983459473,2.053764,3428.108295388746,25.140074729919434,1.7374738,3428.1454178233257,13.548433303833008,1.6179065,3427.8215024556084
4,13.994612,2.5069883,3428.462024964293,24.369911193847656,2.0537295,3428.8977373789367,34.054524421691895,1.7412213,3428.9348683622575,23.545186042785645,1.6230568,3428.6108784016833
5,9.181362,2.5603013,3429.251548413111,20.671339988708496,2.07478,3429.687361165797,30.777365684509277,1.765775,3429.7245006998264,21.958508491516113,1.6379536,3429.4004361292177
6,9.313499,2.5711281,3430.0412536773483,16.832229614257812,2.054251,3430.477166791183,20.256993770599365,1.7590572,3430.5143148778916,11.172118186950684,1.6387703,3430.190175680066
7,14.027069,2.5022073,3430.831140798883,20.898472785949707,2.050573,3431.2671542969783,22.62580108642578,1.7604192,3431.3043109383343,12.9032883644104,1.6364276,3430.9800970961073
8,13.527988,2.4920197,3431.6212098195865,22.739766120910645,2.0547361,3432.057323725059,27.117640495300293,1.760735,3432.094488923033,21.441590309143066,1.6324037,3431.7702004192142
9,13.810911,2.4950917,3432.411460781354,21.88387393951416,2.0681155,3432.8476751173266,27.351015090942383,1.7714149,3432.884848873889,20.217707633972168,1.6443728,3432.5604856912855
10,13.082887,2.523458,3433.201893726077,23.027196884155273,2.0587344,3433.638208515677,29.1647891998291,1.7564305,3433.6753908327987,20.19273281097412,1.6284006,3433.350952954213
11,11.982891,2.5567522,3433.992508695671,24.845900535583496,2.0734437,3434.4289239620316,35.50949478149414,1.7692642,3434.466114841684,28.146635055541992,1.6369933,3434.1416022499143
12,11.591698,2.561067,3434.7833057320463,21.19916343688965,2.1133776,3435.2198214983055,30.443342208862305,1.795227,3435.2570209424603,21.85198211669922,1.6462984,3434.9324336203017
13,10.68865,2.5858064,3435.574284877137,19.65334987640381,2.1177504,3436.0109011664385,28.306772232055664,1.7945379,3436.048109177068,24.88566493988037,1.6452807,3435.7234471073116
14,13.5055685,2.5477397,3436.3654461728734,22.386252403259277,2.0982869,3436.8021630083663,32.50660705566406,1.7808262,3436.839379587443,27.122126579284668,1.6388701,3436.5146427528753
15,13.483885,2.5651073,3437.156789661208,23.482062339782715,2.0805588,3437.593607066047,32.224318504333496,1.7671021,3437.6308322155446,24.622708320617676,1.6331489,3437.3060205989477
16,10.798389,2.5828109,3437.948315384091,23.57071876525879,2.0995426,3438.385233381435,33.16468620300293,1.7819825,3438.4224671033267,25.925525665283203,1.6366477,3438.0975806874803
17,10.856451,2.5796106,3438.7400233834956,18.237262725830078,2.104925,3439.177041996509,25.914012908935547,1.7948812,3439.2142842927697,23.287673950195312,1.6528606,3438.889323060448
18,9.675749,2.607819,3439.5319137013894,19.00665855407715,2.1305974,3439.9690329532436,23.693727493286133,1.8025093,3440.006283825847,15.798567771911621,1.6650697,3439.681247759821
19,8.653304,2.6295815,3440.3239863797658,17.033376693725586,2.143285,3440.7612062936355,24.4151029586792,1.8067775,3440.7984657445572,14.814359188079834,1.6715858,3440.473354827594
20,8.746851,2.6193004,3441.116241460611,13.537415981292725,2.1436021,3441.553562059678,20.565377235412598,1.8244056,3441.5908300908927,21.2588529586792,1.6799517,3441.2656443057554
21,10.826771,2.6145818,3441.908678985938,15.434409141540527,2.156752,3442.346100293388,17.283960819244385,1.8414997,3442.3833769068724,17.26163911819458,1.6849442,3442.0581162363196
22,8.018213,2.6557379,3442.7012989977566,15.899828910827637,2.1762064,3443.138821036782,21.382293701171875,1.8360416,3443.1761062345117,17.13483190536499,1.6840837,3442.8507706612986
23,5.3777637,2.6749926,3443.4941015380878,12.98344612121582,2.1754115,3443.9317243318847,20.17876672744751,1.8344284,3443.969018115837,14.876678466796875,1.6924938,3443.643607622715
24,7.9856873,2.6722798,3444.287086648972,11.787609577178955,2.1694002,3444.724810220743,16.543797969818115,1.8375136,3444.762112592896,11.996210098266602,1.7018638,3444.4366271626113
25,8.679464,2.668845,3445.080254372446,16.403449058532715,2.1643221,3445.5180787453987,20.172852516174316,1.8341168,3445.5553897077284,11.667463302612305,1.6997342,3445.229829323025
26,10.7428665,2.6683931,3445.8736047505686,18.07600450515747,2.1488957,3446.3115299479164,24.631410598754883,1.8246738,3446.348849502402,17.488051414489746,1.6924855,3446.0232141460187
27,11.308073,2.6569269,3446.6671378253964,19.98003101348877,2.165912,3447.1051638703575,28.033696174621582,1.8410188,3447.142492018977,24.770957946777344,1.7002382,3446.816781673649
28,8.445512,2.7007618,3447.460853639008,17.302464485168457,2.2007346,3447.898980554806,24.235214710235596,1.8567975,3447.936317299539,21.338207721710205,1.7095563,3447.610531947997
29,7.830688,2.7082605,3448.254752233479,17.263919830322266,2.1833625,3448.6929800433427,28.830183029174805,1.8460083,3448.730325386169,25.11741828918457,1.7101853,3448.404465011141
30,9.773336,2.607906,3449.048833650908,17.123209476470947,2.1385157,3449.487162378072,27.01271152496338,1.8348247,3449.5245163209715,26.71479892730713,1.711676,3449.19858090518
31,11.229267,2.6048474,3449.843097933389,19.97189998626709,2.1223938,3450.2815276010933,29.176122665405273,1.8308877,3450.318890146046,21.278841018676758,1.7162831,3449.9928796722106
32,10.444792,2.625014,3450.63754512304,22.593886375427246,2.1431162,3451.0760757545295,33.54836845397949,1.8421541,3451.113446903517,23.664409637451172,1.7189683,3450.7873613543525
33,10.058643,2.5811446,3451.4321752619753,18.668394088745117,2.1454217,3451.8708068805004,28.67804718017578,1.8465334,3451.9081866355036,24.86491298675537,1.7108743,3451.582025993722
34,15.819672,2.5228312,3452.2269883923327,18.671689987182617,2.0824966,3452.6657210211492,24.016871452331543,1.8068471,3452.70310938415,20.226486206054688,1.6959561,3452.376873632458
35,12.631664,2.5340462,3453.021984556244,28.746670722961426,2.0688314,3453.4608182186134,39.299333572387695,1.777091,3453.498215191594,27.032023429870605,1.6719084,3453.1719043126955
36,10.550468,2.5423734,3453.817163795868,24.896864891052246,2.079811,3454.256098515056,35.68726444244385,1.7855291,3454.2935040999996,20.96856117248535,1.666929,3453.967118076593
