,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4
0,3.5561802,1.6897734,3474.7054140206674,25.594809,1.4047669,3474.820768038977,47.827713,1.1505078,3474.835100888409,19.591263,1.148938,3474.8315983960892
1,17.608772,1.6757088,3475.505586629297,32.27183,1.39406,3475.620967211909,35.789665,1.15236,3475.635303361982,27.565317,1.1479771,3475.63180006309
2,24.107216,1.6280645,3476.3059435056884,29.965733,1.3978072,3476.4213506587203,43.045,1.149644,3476.4356901101937,20.333593,1.1396512,3476.4321860045447
3,16.280977,1.6626849,3477.1064846922836,29.36309,1.3983477,3477.2219184218543,69.99826,1.1428715,3477.236261175489,68.214554,1.1262399,3477.2327562628966
4,16.491737,1.6794136,3477.907210231519,22.048119,1.4176499,3478.022670543748,51.4638,1.1577998,3478.037016600304,70.63133,1.1255511,3478.033510880583
5,-0.5588949,1.6944367,3478.7081201658552,2.4888399,1.4297462,3478.823607066865,16.0619,1.1696614,3478.837956427103,34.665848,1.140559,3478.8344499000673
6,17.320747,1.6871331,3479.509214537749,26.339886,1.4195875,3479.624728033662,44.438614,1.1609255,3479.6390806983427,40.77304,1.145236,3479.635573363806
7,13.933138,1.6736968,3480.3104933896807,33.37626,1.4118844,3480.4260334866212,65.416245,1.1545088,3480.4403894565057,50.241627,1.1423975,3480.436881314283
8,9.603897,1.7156974,3481.1119567641254,27.65145,1.4246786,3481.22752346822,58.375977,1.1633226,3481.2418827440692,30.247173,1.1533862,3481.2383737939736
9,12.295225,1.7035505,3481.913604703584,19.27671,1.4393301,3482.0291980209595,42.42816,1.1739788,3482.0435606035344,47.990974,1.1556305,3482.0400508453804
10,10.2030525,1.7197652,3482.715437250551,12.350374,1.4538549,3482.831057187336,18.889284,1.1894805,3482.8454230773987,29.724197,1.1618558,3482.8419125109995
11,15.717352,1.7135025,3483.5174544475467,30.68826,1.4440274,3483.633101009871,62.254185,1.1830778,3483.647470208183,42.004456,1.1666511,3483.6439588333533
12,23.93259,1.7008902,3484.3196563370857,35.51398,1.4438953,3484.435329531081,68.41857,1.1805139,3484.449702038404,68.53354,1.1618572,3484.4461898549575
13,22.683456,1.7005001,3485.122042961707,28.419632,1.4543793,3485.237742793506,33.917175,1.195843,3485.252118610603,25.713055,1.1803823,3485.2486056183525
14,16.813292,1.7363284,3485.9246143639457,32.524612,1.4560844,3486.0403408396833,50.785217,1.1915607,3486.054719967315,22.94813,1.1866599,3486.051206166075
15,12.806862,1.7745768,3486.7273705863595,30.9884,1.4757037,3486.8431237121713,53.010788,1.2029625,3486.8575061511006,47.89083,1.1833361,3486.853991540685
16,16.915861,1.7742871,3487.530311671503,25.974213,1.4881488,3487.6460914535255,64.76236,1.2006953,3487.6604772045152,57.431927,1.182557,3487.6569617847376
17,8.510147,1.8176665,3488.333437661955,21.3144,1.5064641,3488.449244106327,65.70111,1.203593,3488.4636331701395,55.889072,1.1857079,3488.460116940814
18,2.9559884,1.8375908,3489.136748600289,23.20922,1.4984472,3489.2525817131504,66.99866,1.2041786,3489.266974090549,46.573235,1.1920016,3489.263457051488
19,9.7158985,1.8114314,3489.9402445291025,18.298573,1.5093269,3490.056104316595,53.53463,1.2148182,3490.070500008342,46.390594,1.1928719,3490.06698215936
20,15.923431,1.7842336,3490.743925490989,14.394167,1.5214735,3490.8598119592552,36.3078,1.2303083,3490.874210966115,43.10051,1.2063098,3490.8706923070245
21,13.151867,1.79121,3491.5477915285664,21.756145,1.5080025,3491.66370468375,46.34085,1.2277236,3491.6781070064853,32.544086,1.2187269,3491.6745875371003
22,20.317787,1.7715064,3492.351842684451,31.664925,1.4971101,3492.467782532698,48.10717,1.2316396,3492.4821881720723,37.957268,1.2186099,3492.4786678922064
23,21.272976,1.7762209,3493.156079001269,29.300316,1.511252,3493.272045548726,47.457603,1.2352514,3493.2864545055036,36.68625,1.2209872,3493.2829334149696
24,5.2195807,1.8343599,3493.9605005216677,11.842774,1.5376042,3494.076493774484,33.494076,1.24061,3494.0909060494278,28.341152,1.2186316,3494.0873841480397
25,8.000738,1.816571,3494.765107288289,12.936905,1.534822,3494.881127252614,29.576118,1.2426411,3494.895542846489,42.329285,1.2106436,3494.89202013406
26,14.290195,1.8091184,3495.5698993438004,19.104534,1.5445364,3495.685946025785,44.779785,1.2486236,3495.700364939356,46.536976,1.2211763,3495.6968414156986
27,17.91837,1.8073283,3496.3748767308634,25.868486,1.545556,3496.4909501366606,46.585396,1.255387,3496.505372370691,33.82292,1.2363842,3496.5018480356193
28,16.6776,1.8268746,3497.1800394921643,24.685886,1.561879,3497.296139627928,47.659683,1.2646376,3497.310565183183,50.099113,1.2309175,3497.3070400365095
29,5.662901,1.8587317,3497.985387670385,8.48287,1.5791849,3498.1015145422707,34.060726,1.2741545,3498.115943419515,50.631405,1.2346557,3498.112417461053
30,3.725782,1.8628993,3498.7909213082307,14.87279,1.5652902,3498.907074922396,47.10048,1.2637087,3498.9215071223944,36.101395,1.2419354,3498.9179803519573
31,8.688236,1.8574328,3499.596640448404,21.742472,1.5664276,3499.7128208110066,55.204277,1.2670585,3499.7272563345246,52.338562,1.244685,3499.7237287519247
32,12.633427,1.8545452,3500.4025451336292,27.60093,1.5593736,3500.5187522508295,56.97142,1.2670791,3500.533191098632,53.846542,1.2482746,3500.529662703683
33,20.830982,1.8337227,3501.2086354066287,33.230682,1.5619131,3501.324869284587,64.15225,1.2744176,3501.3393114574396,54.05388,1.252037,3501.3357822499543
34,18.846992,1.837889,3502.014911310147,30.434486,1.550938,3502.1311719550263,47.40689,1.2654443,3502.145617453695,30.273579,1.2536572,3502.1420874334863
35,10.176128,1.8352983,3502.8213728869246,27.539438,1.5430508,3502.9376603048886,53.254932,1.252884,3502.95210913014,46.00057,1.2284967,3502.94857829702
36,20.050497,1.8035161,3503.6280201797267,33.4907,1.52322,3503.7443343769414,61.830772,1.2504199,3503.7587865295404,60.94584,1.2183646,3503.755254883323
37,22.180645,1.8411716,3504.4348532313147,37.957184,1.5476638,3504.5511942139465,63.285652,1.2616513,3504.56564969466,47.46661,1.233461,3504.5621172351566
38,12.345705,1.8819392,3505.241872084471,26.791069,1.5724682,3505.3582398586886,62.3492,1.2831898,3505.372698668283,59.851593,1.2583107,3505.3691653953074
39,14.164371,1.9000697,3506.0490767819783,32.606384,1.5843076,3506.165471353951,64.646835,1.287627,3506.1799334931925,54.006905,1.2642939,3506.176399406557
40,11.982946,1.9108021,3506.856467366639,25.51346,1.5900195,3506.9728887425385,66.050934,1.2816272,3506.987354212194,65.41069,1.2548285,3506.983819311711
41,11.151434,1.9045142,3507.6640438812583,26.411875,1.5884607,3507.7804920672565,66.15529,1.2848877,3507.794960868093,41.531002,1.270271,3507.7914251535753
42,16.62614,1.8812246,3508.4718063686473,33.3837,1.589097,3508.5882813709186,60.441933,1.297486,3508.6027535037033,29.97924,1.286941,3508.599216974964
43,24.03164,1.8723192,3509.279754871642,34.434334,1.600569,3509.3962566963614,51.474335,1.3161161,3509.4107321618617,34.11887,1.2989205,3509.4071948187125
44,12.953086,1.927504,3510.0878894330704,19.949993,1.6294658,3510.2044180864154,45.526787,1.3262421,3510.218896885398,37.354004,1.3016711,3510.2153587276516
45,10.123055,1.9225931,3510.896210095787,13.759554,1.6435157,3511.012765583935,34.07968,1.3298594,3511.0272477171684,41.625404,1.3047789,3511.0237087446376
46,16.148481,1.940901,3511.7047169026405,24.892519,1.6359503,3511.8212992317717,39.030632,1.3362958,3511.8357847000234,33.914993,1.3128033,3511.8322449125203
47,3.086739,1.9705575,3512.5134098965045,4.6839614,1.6546438,3512.6300190727998,20.14722,1.3358973,3512.644507876838,31.12181,1.3131942,3512.6409672741747
48,11.857044,1.9356923,3513.3222891202477,20.506361,1.6434375,3513.4389251498897,50.239838,1.3310883,3513.4534172904823,53.426292,1.3115952,3513.4498758724712
49,17.123314,1.9375377,3514.1313546167635,30.537872,1.633713,3514.248017505936,44.58297,1.333153,3514.2625129838516,28.519642,1.3114282,3514.258970750305
50,8.213776,1.9274987,3514.9406064289406,9.011724,1.6470553,3515.057296183829,35.452793,1.331867,3515.0717949998357,46.6882,1.3090045,3515.068251950566
51,17.716549,1.9363235,3515.750044599692,26.075588,1.6539189,3515.8667612264826,47.503815,1.3359729,3515.88126338135,38.469322,1.3133162,3515.877719516169
52,18.638622,1.9210157,3516.559669171925,25.45784,1.6358923,3516.6764126768066,37.570847,1.3412056,3516.690918171303,24.672506,1.3366225,3516.6873734900228
53,17.23065,1.9312,3517.3694801885736,26.891712,1.6623096,3517.4862505777355,65.99986,1.3455526,3517.50075941263,51.16677,1.3383148,3517.4972139150627
54,21.807674,1.9371998,3518.1794776925653,32.71161,1.6558249,3518.2962749721987,42.87833,1.3629647,3518.3107871482603,32.54574,1.3535953,3518.307240834218
55,19.495487,1.9467129,3518.989661726853,27.496307,1.6795735,3519.1064859031503,49.880203,1.3681239,3519.121001421149,38.33724,1.3583804,3519.117454290443
56,16.724537,1.9847729,3519.8000323343836,25.231537,1.6949043,3519.916883413539,49.61284,1.3774987,3519.9314022742437,43.900703,1.367033,3519.9278543266873
57,22.442148,1.9847265,3520.61058955813,31.893213,1.6931108,3520.7274675463386,52.084923,1.386225,3520.7419897505197,40.941612,1.3740559,3520.738440985924
58,12.29892,2.022451,3521.4213334410606,19.706568,1.7085774,3521.538238344519,37.660397,1.3899434,3521.552763892946,36.658775,1.3772852,3521.5492143111233
59,11.600257,2.041267,3522.2322640261664,20.160246,1.7220211,3522.349195851073,40.19995,1.3965021,3522.3637247445163,30.572767,1.3881352,3522.360174345278
60,14.3667555,2.0262508,3523.0433813564355,19.767279,1.7278514,3523.1603401089897,48.9237,1.3945162,3523.1748723482197,31.993124,1.3884484,3523.1713211313777
61,9.958757,2.0771322,3523.8546854748797,17.918453,1.7465777,3523.9716711612828,43.388412,1.4106792,3523.9862067470694,38.570477,1.3958889,3523.9826547124353
62,12.949482,2.068733,3524.666176424509,21.023201,1.736275,3524.7831890509638,32.9893,1.4215463,3524.797727984078,31.296835,1.4076325,3524.7941751314634
63,13.685143,2.0770402,3525.4778542483455,16.167904,1.7538364,3525.594893821055,16.11409,1.4377624,3525.609436102268,19.072525,1.4231589,3525.6058824314846
