,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5,flux_radius_6,ivar_radius_6,Wavelength_radius_6
27,2.8262234,3.323256,3376.4649865250194,7.223085,2.5823605,3376.5444471249616,14.29601,2.1674097,3376.5769876579893,20.35191,1.981347,3376.450884931922,24.387577,1.8451523,3376.397393182695,22.51892,1.7692388,3376.4976886892605
28,1.9141345,3.3734329,3377.242535834757,5.0586066,2.6174896,3377.322014733285,9.372519,2.1877909,3377.35456275991,10.610987,2.0057802,3377.228430994274,11.417406,1.8766023,3377.174926926698,13.225263,1.7817528,3377.2752455298164
29,2.5964766,3.3319573,3378.0202642024506,5.7662554,2.6092546,3378.0997614037783,9.152782,2.1924462,3378.132316925726,10.8666525,2.0093322,3378.0061561138336,12.998392,1.8739626,3377.952639725073,15.379428,1.7811223,3378.0529814300626
30,4.3209667,3.2352116,3378.7981716693403,9.490669,2.556775,3378.8776871776827,15.245943,2.162319,3378.91025019668,16.696966,1.9910831,3378.784060331842,16.083534,1.8716813,3378.7305316190586,11.350673,1.8021829,3378.83089643124
31,4.5435147,3.2389033,3379.5762582766642,10.554077,2.542193,3379.655792096237,17.526058,2.1539812,3379.6883626140097,20.094522,1.9898404,3379.5621436895362,15.802284,1.8802096,3379.5086026498916,7.1879473,1.8173099,3379.608990574586
32,4.2348175,3.2184262,3380.3545240656817,9.916986,2.528547,3380.434076200702,14.959009,2.1595356,3380.466654218977,13.586054,2.02685,3380.3404062281757,10.291958,1.9097552,3380.286852858832,8.7829075,1.8239858,3380.387263901362
33,5.5496125,3.198539,3381.1329690776492,12.179827,2.510323,3381.212539532334,16.902617,2.140695,3381.2451250528393,12.375216,2.0086133,3381.1188479890166,8.895508,1.884505,3381.0652822871343,9.737609,1.7962458,3381.165716452823
34,3.2775702,3.2286384,3381.9115933538465,8.292099,2.526052,3381.9911821324154,16.01024,2.1301425,3382.0237751568775,22.05049,1.9540399,3381.8974690133387,26.535461,1.8247349,3381.8438909760775,26.466469,1.7433008,3381.9443482702504
35,2.8826735,3.2001529,3382.690396935547,7.219119,2.5019128,3382.77000404222,14.098643,2.110196,3382.8026045723673,20.381386,1.9339072,3382.6762693424157,25.800655,1.7955774,3382.622678966935,25.798744,1.7198164,3382.7231593949177
36,4.0937243,3.1979256,3383.469379864051,9.724358,2.4897103,3383.5490053030476,16.188892,2.1017873,3383.581613340609,17.410477,1.9464307,3383.455249017546,17.88495,1.8182696,3383.401646301005,18.258127,1.7393513,3383.502149868125
37,3.222074,3.2094781,3384.2485421806514,8.395393,2.5007856,3384.328185956194,16.342354,2.109845,3384.3608015028976,20.242525,1.9539497,3384.2344080800244,20.305124,1.83602,3384.18079301958,18.67952,1.7628695,3384.2813197311666
38,3.5321457,3.2581055,3385.027883926665,8.647928,2.5353615,3385.107546042976,16.006948,2.1297288,3385.1401691005517,19.103008,1.9671845,3385.013746571166,19.05457,1.8498996,3384.9601191639767,15.653141,1.7828231,3385.060669025359
39,2.9304872,3.282033,3385.8074051434055,7.0578504,2.5627577,3385.887085604709,11.884205,2.163457,3385.9197161748857,12.683201,2.008114,3385.793264532286,11.39398,1.8883663,3385.7396247755078,8.296233,1.8103981,3385.8401977920166
40,4.961425,3.2170753,3386.587105872209,12.013981,2.5192986,3386.666804682729,19.90907,2.1326442,3386.6994427672375,19.827557,1.9865955,3386.572962004718,15.739759,1.8757613,3386.519309895508,14.3098955,1.7991843,3386.619906072476
41,4.850608,3.209095,3387.3669861544117,11.075151,2.5247438,3387.446703318374,18.525097,2.1456447,3387.4793489189447,22.116196,1.9869363,3387.3528390298,24.159739,1.8650241,3387.2991745653126,21.875103,1.7897227,3387.3997939080737
42,3.9812891,3.2453885,3388.1470460313576,8.90692,2.5454156,3388.2267815529885,12.765627,2.1624103,3388.2594346713518,12.49938,2.0068831,3388.1328956488746,12.97942,1.8831528,3388.079218826265,15.473274,1.7988772,3388.1798613401534
43,4.7772665,3.3126185,3388.927285544412,12.714025,2.566967,3389.007039427939,23.57874,2.1651464,3389.0397000658263,24.238625,2.0191467,3388.913131903308,18.79037,1.9042886,3388.85944271973,14.173797,1.8244236,3388.960108410082
44,2.9974113,3.369889,3389.707704734935,7.2506013,2.6164603,3389.787476984587,12.888667,2.195067,3389.8201451437303,15.17622,2.0231829,3389.69354783446,16.928696,1.891005,3389.639846287067,15.701528,1.8121624,3389.7405351592197
45,3.2692099,3.3988314,3390.4883036443116,8.745942,2.634709,3390.5680942643176,17.278719,2.2066066,3390.6007699464485,22.073769,2.0245748,3390.474143483714,23.890251,1.8864902,3390.4204295696595,23.758865,1.7981565,3390.5211416289508
46,3.9863172,3.3718286,3391.2690823139205,9.926498,2.6100316,3391.348891308511,18.612885,2.1851056,3391.3815745153624,21.356483,2.016279,3391.2549188924504,19.81746,1.8933142,3391.201192608886,15.466963,1.8213265,3391.3019278606557
47,3.8902833,3.324278,3392.050040785165,9.165253,2.5934496,3392.1298681585718,15.287888,2.1917293,3392.162558891876,14.507034,2.0426838,3392.035874102071,10.99543,1.9182242,3391.9821354461483,8.556138,1.8381163,3392.082893895738
48,4.3249817,3.3873074,3392.831179099444,11.029927,2.6242087,3392.911024855899,18.834496,2.2041194,3392.9437231173893,17.360802,2.0473447,3392.817009153975,11.883081,1.9296739,3392.7632581228445,8.669052,1.8521812,3392.8640397755958
49,2.1324086,3.3871455,3393.6124972981793,5.360708,2.6384945,3393.692361441916,10.393316,2.2219832,3393.725067233326,13.09644,2.0548632,3393.5983240895844,11.554589,1.929747,3393.5445606803964,6.547572,1.853765,3393.645365541653
