,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4
0,4.0185003,3.3060668,3518.6504757602293,12.586462020874023,1.9070872,3518.902106929096,19.94012451171875,1.5786539,3519.2686712194004,40.297218322753906,1.3045847,3519.2801243990607
1,3.32495,3.349961,3519.460768258317,26.88002109527588,1.9123626,3519.7124573740725,12.98895263671875,1.5960997,3520.079106078642,32.74491882324219,1.3120006,3520.090561895798
2,3.4913242,3.3593264,3520.271247354625,25.14429473876953,1.9161738,3520.5229944306143,32.30499839782715,1.6058509,3520.8897275688882,64.16662788391113,1.321354,3520.901186024147
3,3.4582682,3.372119,3521.0819130921327,27.364745140075684,1.9347297,3521.333718141703,34.22707462310791,1.600382,3521.700535733125,56.5039119720459,1.3230296,3521.7119968270945
4,2.4920058,3.4978516,3521.8927655138127,25.703439712524414,1.9670488,3522.1446285503134,29.780733108520508,1.6201636,3522.5115306143325,47.66147041320801,1.3329511,3522.5229943476206
5,2.528349,3.4838212,3522.7038046626635,21.513473510742188,1.9576237,3522.955725699449,32.608598709106445,1.6170572,3523.322712255517,60.25904655456543,1.3413906,3523.3341786287315
6,3.760895,3.406224,3523.5150305816774,26.09469223022461,1.9434593,3523.7670096321044,36.50474262237549,1.617322,3524.1340806996795,70.05294036865234,1.3472753,3524.1455497134275
7,3.8345182,3.4412181,3524.326443313873,28.75090980529785,1.9677539,3524.5784803913007,31.690866470336914,1.6298254,3524.9456359898445,41.99627876281738,1.3511075,3524.957107644734
8,1.5940573,3.5904799,3525.138042902263,20.844290256500244,1.9995863,3525.3901380200546,28.866665840148926,1.6359675,3525.7573781690326,30.557433128356934,1.3513349,3525.768852465673
9,2.3194537,3.5449889,3525.9498293898846,20.47739028930664,1.9886941,3526.2019825614057,30.547667503356934,1.6334827,3526.569307280289,51.85602951049805,1.3499514,3526.580784219288
10,2.7160523,3.477726,3526.7618028197708,19.146276473999023,1.9802126,3527.01401405839,33.76794910430908,1.6260735,3527.381423366654,60.444698333740234,1.3577663,3527.39290294862
11,3.414094,3.4683676,3527.5739632349787,31.839685440063477,1.9301423,3527.826232554068,41.844282150268555,1.6013395,3528.1937264711923,53.10110282897949,1.3434026,3528.205208696734
12,3.2294075,3.4099739,3528.386310678561,32.71753120422363,1.9381365,3528.638638091496,44.21220397949219,1.5999827,3529.006216636965,42.16863822937012,1.3249596,3529.017701506691
13,3.823788,3.3441732,3529.1988451935954,22.58066177368164,1.9176693,3529.451230713754,38.61868953704834,1.6048416,3529.818893907055,60.93400764465332,1.328076,3529.830381421575
14,3.7194972,3.3737674,3530.0115668231538,31.5971736907959,1.9011236,3530.264010463917,38.347585678100586,1.6014442,3530.631758324545,64.44039726257324,1.33179,3530.643248484467
15,2.6944628,3.4466436,3530.824475610333,32.55094814300537,1.929465,3531.0769773850852,36.062599182128906,1.6047909,3531.444809932537,58.74947929382324,1.3392754,3531.4563027384706
16,2.3179612,3.4452212,3531.6375715982253,23.11506462097168,1.9626241,3531.890131520354,32.76442623138428,1.6206402,3532.258048774131,42.897823333740234,1.3420732,3532.2695442266863
17,3.8593538,3.3685775,3532.4508548299477,21.27719497680664,1.9412155,3532.7034729128436,46.94303512573242,1.6137793,3533.0714748924534,53.66374397277832,1.3411386,3533.082972992239
18,3.0573285,3.4488606,3533.264325348613,28.52463436126709,1.9437131,3533.517001605669,42.137553215026855,1.6007414,3533.8850883306222,71.33709144592285,1.3444458,3533.8965890782483
19,2.8065948,3.4651031,3534.0779831973573,30.479862213134766,1.9430443,3534.3307176419703,35.00184917449951,1.6107836,3534.698889131783,47.48282814025879,1.3559706,3534.710392527859
20,4.1649942,3.3943346,3534.891828419312,28.985462188720703,1.9405881,3535.1446210648824,50.07213592529297,1.6198004,3535.512877339074,68.84236717224121,1.3517501,3535.524383384209
21,3.2180228,3.4420881,3535.7058610576346,24.904762268066406,1.959282,3535.9587119175644,36.34015083312988,1.6306225,3536.32705299566,63.31616401672363,1.3581434,3536.338561690465
22,3.9921026,3.4008458,3536.52008115548,29.070033073425293,1.9558269,3536.7729902431756,33.73702049255371,1.6236448,3537.1414161447037,40.75865173339844,1.365898,3537.152927489789
23,4.1973457,3.438387,3537.3344887560143,31.02481174468994,1.9751583,3537.587456084884,45.903642654418945,1.6436566,3537.9559668293787,80.76546478271484,1.3727006,3537.9674808253544
