,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5
0,3.5384045,4.0052185,3505.588351368554,20.031217575073242,2.2289832,3506.0085005781034,34.842830657958984,1.8480508,3506.538049955843,42.568214416503906,1.5585814,3506.9368572064936,35.63017654418945,1.4701974,3507.2077052174172
1,3.4340239,4.028004,3506.395635855054,37.82483100891113,2.2450025,3506.8158818186726,34.10011672973633,1.8581712,3507.3455531437016,45.372127532958984,1.5629925,3507.7444522336887,35.125946044921875,1.4805014,3508.015362616852
2,3.1944473,4.0469522,3507.2031062470746,36.2122859954834,2.264549,3507.623448987044,62.48557662963867,1.8812711,3508.1532422874448,42.736297607421875,1.5790228,3508.552233237917,34.25096893310547,1.4872377,3508.823206007684
3,3.6905737,4.063355,3508.0107625874352,36.75672721862793,2.2585673,3508.431202126041,66.22298240661621,1.8821695,3508.9611174299034,94.48682403564453,1.5856608,3509.3602002620146,43.671302795410156,1.4862106,3509.6312354327515
4,2.8502083,4.1215663,3508.818604918949,33.53015995025635,2.2807927,3509.2391412784827,49.98040771484375,1.8977127,3509.7691786139017,89.76032638549805,1.5868496,3510.1683533488117,79.40164947509766,1.4902587,3510.439450934888
5,3.0611043,4.152455,3509.626633284455,31.412443161010742,2.3021266,3510.047266487213,54.92675590515137,1.9094294,3510.5774258822908,73.73337173461914,1.6022011,3510.9766925411627,66.52928924560547,1.5050153,3511.2478525569527
6,4.1763144,3.9630933,3510.434847726786,37.345458984375,2.2420974,3510.85557779507,56.07486534118652,1.897018,3511.385859277915,82.03583526611328,1.6020039,3511.785217881918,68.00370407104492,1.5070299,3512.0564403417975
7,3.109216,4.114665,3511.2432482888003,37.09709167480469,2.2802002,3511.664075244917,53.716243743896484,1.9085361,3512.1944788436444,77.1832504272461,1.6086773,3512.5939294139516,69.3692398071289,1.5079539,3512.865214332301
8,3.095413,4.1759853,3512.0518350133516,34.79545593261719,2.29952,3512.4727588796122,57.703487396240234,1.9208995,3513.0032846223435,71.6858901977539,1.6119637,3513.4028271801335,58.62182426452637,1.5140783,3513.674174571336
9,2.7507856,4.2290215,3512.860607943317,31.49789047241211,2.329167,3513.281628742039,53.60112953186035,1.9351121,3513.812276656902,73.16238784790039,1.6200389,3514.2119112233586,58.003482818603516,1.5217664,3514.483321101801
10,2.6284266,4.2695346,3513.6695671215693,28.133249282836914,2.3506074,3514.090684875075,49.48584747314453,1.9462101,3514.621454990204,71.27718734741211,1.6244166,3515.021181586515,64.96916580200195,1.5236676,3515.292653966587
11,2.7287898,4.2069707,3514.478712591007,28.508359909057617,2.3213952,3514.899927321623,48.78953552246094,1.9339166,3515.4308196651596,71.1473617553711,1.6241277,3515.8306383125177,56.981658935546875,1.5246613,3516.1021732086124
12,3.0405962,4.142246,3515.2880443945223,29.674528121948242,2.2967587,3515.7093561245815,47.263132095336914,1.9135919,3516.2403707246717,67.61664962768555,1.6064732,3516.640281444276,62.12808418273926,1.5156453,3516.9118788707897
13,2.8069398,4.1485195,3516.0975625750325,29.361541748046875,2.3027446,3516.5189713268724,43.42106246948242,1.9206884,3517.0501082116707,61.92672920227051,1.6056918,3517.4501110247234,54.005720138549805,1.5068158,3517.721770996056
14,2.8950293,4.1672406,3516.9072671754507,28.47337245941162,2.317776,3517.3287729714134,47.88086128234863,1.9372001,3517.8600321690806,65.86527061462402,1.615111,3518.260127096789,57.04607582092285,1.5114604,3518.531849627344
15,2.997186,4.1388597,3517.7171582387123,29.65315818786621,2.3013334,3518.138761101146,45.56429100036621,1.9247769,3518.670142639849,68.94536972045898,1.6114409,3519.070329703426,54.2605037689209,1.5101379,3519.3421148076095
16,3.2695603,4.1330853,3518.527235807751,32.97784996032715,2.2846427,3518.9489357590087,48.18505859375,1.906105,3519.4804396669197,74.29832458496094,1.6083463,3519.8807188875835,59.5040225982666,1.5092332,3520.1525665798054
17,3.5245206,4.1189413,3519.337499925523,36.12116241455078,2.2699847,3519.7592969879624,57.773258209228516,1.8925462,3520.2909232932625,80.52824020385742,1.602487,3520.691294692235,75.75519943237305,1.5113164,3520.963204986908
18,2.4492638,4.30795,3520.1479506349806,33.243486404418945,2.3451695,3520.569844830966,57.4995231628418,1.9356896,3521.1015935618407,86.33392333984375,1.620839,3521.5020571603486,76.66928100585938,1.5200403,3521.7740300718897
19,2.6896245,4.223546,3520.9585879791007,29.695161819458008,2.335485,3521.380579331,58.69993209838867,1.9497145,3521.912450515642,86.37654876708984,1.6309974,3522.313006334918,74.0737533569336,1.5297643,3522.585041877747
20,2.56527,4.2689514,3521.7694120008546,26.290260314941406,2.3479297,3522.1915005310407,48.00107192993164,1.9587151,3522.72349419765,78.65924453735352,1.6430994,3523.1241422589314,67.01270294189453,1.5372813,3523.3962404474705
21,2.4264007,4.3183417,3522.580422743239,27.346055030822754,2.3520045,3523.002608474091,43.40114212036133,1.956393,3523.5347246508727,68.3321647644043,1.6492538,3523.9354649754014,71.6712417602539,1.5400423,3524.2076258240777
22,2.6301184,4.3092656,3523.391620249249,27.678889274597168,2.364604,3523.813903203151,44.37550354003906,1.9642621,3524.3461419183172,63.41837120056152,1.6557739,3524.74697452734,68.52567863464355,1.5399594,3525.019198050583
23,2.7350612,4.2720633,3524.20300456189,27.691659927368164,2.38063,3524.6253847612306,44.18309783935547,1.9862063,3525.1577460430008,58.26559257507324,1.6641135,3525.5586709577688,48.615501403808594,1.5620288,3525.830957170012
24,2.3260605,4.344603,3525.0145757241876,24.53555679321289,2.4216318,3525.4370531913614,42.324106216430664,2.0065763,3525.9695370679606,59.66047668457031,1.6693166,3526.3705543097312,45.26040267944336,1.5638852,3526.64290322541
25,2.430418,4.3318806,3525.826333779164,24.779170036315918,2.3967812,3526.24890853657,41.08234977722168,2.0025637,3526.78151503623,61.56130409240723,1.6765826,3527.182624626264,53.888511657714844,1.5647498,3527.455036259819
26,2.7284036,4.304944,3526.638278769865,28.2935209274292,2.3760273,3527.0609508399075,45.29668045043945,1.9965662,3527.593679990866,65.46028137207031,1.6831453,3527.9948819504307,63.21460723876953,1.5765082,3528.2673563163044
27,2.5093164,4.368671,3527.450410739331,28.53726291656494,2.3934267,3527.87318014442,47.60566329956055,2.0027957,3528.4060319749224,67.19049835205078,1.6907771,3528.8073263252886,54.768253326416016,1.587956,3529.079863437927
