,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5,flux_radius_6,ivar_radius_6,Wavelength_radius_6,flux_radius_7,ivar_radius_7,Wavelength_radius_7
0,0.1386804,3.3861992,3195.512698733826,0.27269253,2.853204,3195.540890842439,1.0998312,2.202772,3195.5578231527334,1.2845736,2.2050352,3195.6226969898808,4.1963053,1.7827964,3195.7396782339424,4.4203663,1.833865,3195.8285123852706,4.187521457672119,1.557539,3195.78060688408
1,0.6971901,3.4141996,3196.2485774422016,0.91639423,2.8945994,3196.2767760430347,2.7427962,2.2287264,3196.2937122525864,2.310593,2.2284367,3196.358601029207,5.543147,1.7901746,3196.4756092122966,5.320524,1.8357592,3196.5644638207996,10.161951541900635,1.5553313,3196.5165472876897
2,0.5038237,3.4451795,3196.984625612417,0.7672403,2.906589,3197.0128307069654,1.833509,2.2404685,3197.0297708166727,1.3523518,2.2375102,3197.0946745362066,2.1794577,1.800093,3197.2117096645284,0.8282127,1.8486719,3197.3005847349164,6.434057950973511,1.5647002,3197.2526571673466
3,0.70360136,3.4411283,3197.720843283504,1.1155982,2.9047868,3197.7490548732635,2.8878431,2.236613,3197.765998884024,2.4230914,2.235801,3197.8309175499126,4.31623,1.8029703,3197.947979629671,2.1974106,1.8524733,3198.0368751666565,-1.5879667401313782,1.5661286,3197.988936562086
4,0.98695374,3.4631467,3198.4572304944895,1.588758,2.9246132,3198.4854485809556,3.586,2.2509227,3198.502396493668,2.742619,2.2482486,3198.5673301093525,4.3317213,1.8089632,3198.684419146755,2.0265238,1.8570621,3198.773335155051,4.903917908668518,1.5740125,3198.7253855109375
5,1.3995711,3.4440207,3199.193787284423,2.2303538,2.9151037,3199.222011869091,5.0250463,2.2583857,3199.238963684654,3.8875449,2.258945,3199.303912253578,7.076188,1.8193488,3199.4210282548315,4.8469048,1.8671795,3199.5099647391526,6.598086297512054,1.585412,3199.4620040529544
6,1.8099654,3.4502068,3199.930513692348,2.9457793,2.9121978,3199.958744776716,6.181344,2.2689137,3199.975700496028,4.648632,2.2735884,3200.0406640216343,8.030859,1.8235632,3200.1578069929483,4.6939764,1.8605895,3200.2467639580095,6.837874174118042,1.5827483,3200.1987922271837
7,1.0651233,3.470735,3200.667409757333,1.9865592,2.9193316,3200.6956473428963,4.002875,2.2722673,3200.712606966857,3.0637527,2.275094,3200.77758545259,4.3967395,1.828496,3200.8947554001757,1.062201,1.8672779,3200.9837328506933,3.0716068744659424,1.585982,3200.935750072697
8,0.25522417,3.4536896,3201.4044755184404,0.6339452,2.9162357,3201.432719606697,2.3296418,2.2629883,3201.449683136205,2.8093538,2.2588468,3201.5146765855097,8.421995,1.8029047,3201.631873515579,7.8812666,1.8373296,3201.720871456271,7.144613981246948,1.5733701,3201.6728776285595
9,0.36536592,3.4471295,3202.1417110147554,0.77009743,2.9072137,3202.1699616072024,2.8394337,2.2539396,3202.186929043157,3.4220312,2.247753,3202.2519374594794,9.570152,1.800337,3202.3691613782466,8.558449,1.8449752,3202.458179813831,14.124003887176514,1.5883455,3202.4101749338597
10,0.9972903,3.4209592,3202.879116285358,1.7832111,2.8868515,3202.9073733834935,4.274496,2.2392757,3202.924344726794,3.6257665,2.2405674,3202.9893681135813,6.2144976,1.8066994,3203.1066190272613,2.748561,1.8594446,3203.195657962458,5.38713014125824,1.5945252,3203.1476420276817
11,1.4067427,3.4036717,3203.616691369353,2.444014,2.8729866,3203.6449549746744,5.8914604,2.228949,3203.6619302262216,5.136424,2.2306912,3203.7269685869205,9.790302,1.8004969,3203.8442465017297,4.956601,1.8582456,3203.9333059412593,0.9892299771308899,1.6007783,3203.8852789491325
12,1.3563681,3.4018338,3204.3544363058377,2.249448,2.876464,3204.382706419844,5.373514,2.2343743,3204.399685580537,4.500204,2.2400484,3204.4647389185966,8.517661,1.8063045,3204.5820438407527,5.9080925,1.8554759,3204.671123789337,4.099126219749451,1.5906957,3204.6230857373134
13,1.4660454,3.3674052,3205.092351133934,2.508823,2.8573534,3205.120627758124,5.99298,2.2245686,3205.1376108288637,5.2330813,2.2383769,3205.2026791477324,10.9578495,1.8085252,3205.3200110834546,8.565578,1.8564148,3205.409111545817,9.144860982894897,1.589183,3205.3610624313496
14,0.8905271,3.38378,3205.8304358927585,1.488887,2.8665318,3205.8587190286316,4.130504,2.221485,3205.875706010318,3.8645535,2.2295017,3205.940789313446,8.445198,1.7986566,3206.058148268956,5.8238597,1.8505411,3206.1472692498196,9.487650156021118,1.5915813,3206.099209070361
15,1.3179538,3.4096837,3206.56869062145,2.2812061,2.8807228,3206.596980270506,5.235751,2.2309155,3206.61397116404,4.351274,2.237323,3206.6790694548777,8.4435425,1.8063883,3206.7964554363966,6.351996,1.8548422,3206.8855969404876,6.5441179275512695,1.5865245,3206.8375256934896
16,1.0891725,3.449064,3207.307115359144,2.0778747,2.9006517,3207.335411522882,5.1014905,2.2436433,3207.3524063291643,4.704127,2.2384021,3207.4175196111632,9.806774,1.7997721,3207.5349326249157,6.4936075,1.8507718,3207.6240946569596,8.055066168308258,1.5993541,3207.5760123398736
17,1.6108428,3.42079,3208.0457101449974,2.763393,2.883021,3208.074012824918,7.204243,2.2341108,3208.0910115448496,6.6943107,2.231705,3208.156139821462,15.261071,1.7916083,3208.2735798736726,11.453766,1.8381689,3208.3627624383976,9.101627588272095,1.5906534,3208.3146690486737
18,1.4835011,3.429263,3208.784475018163,2.4938085,2.8999894,3208.8127842157674,6.1788635,2.2461681,3208.829786850249,5.4056187,2.2492998,3208.894930124928,11.059101,1.8092116,3209.012397221824,8.086493,1.8587713,3209.101600323957,12.602277755737305,1.5977347,3209.0534958590465
19,1.0904574,3.4414937,3209.523410017817,1.940687,2.9112523,3209.551725734605,4.890732,2.2551246,3209.568732284539,4.573349,2.2588284,3209.633890560738,9.997833,1.8169776,3209.7513847085465,7.705046,1.8643934,3209.8406083528184,13.826964378356934,1.602833,3209.7924928101697
20,0.2589413,3.5304255,3210.2625151831285,0.57316566,2.9913564,3210.2908374206017,1.5919094,2.326695,3210.3078478868897,1.7485898,2.3328903,3210.373021168064,5.234668,1.8615336,3210.4905423730147,4.671003,1.8936825,3210.5797865641553,9.110732078552246,1.6193475,3210.531659941218
21,0.13467515,3.5878365,3211.001790553292,0.29927206,3.032976,3211.0301193129526,0.61104584,2.3519516,3211.0471336964956,0.5993941,2.345519,3211.1123219861006,2.0170522,1.8606192,3211.2298702544244,1.5322119,1.8914369,3211.3191349971653,2.4171383380889893,1.6226071,3211.2709972913876
22,-0.67558706,3.57767,3211.741236167499,-1.1373103,3.028558,3211.7695714508486,-1.623338,2.3453548,3211.78658975255,-0.5675845,2.3425295,3211.851793054041,1.5658236,1.8693469,3211.9693683919704,3.3390465,1.9057262,3212.0586536910446,2.8569048196077347,1.6297818,3212.0105048998744
23,0.94041896,3.4683855,3212.4808520649517,1.4896857,2.9376688,3212.5091938734927,3.061507,2.2853334,3212.526216094254,2.1775622,2.2977345,3212.591434411089,3.5036197,1.8547927,3212.7090368248573,2.5052838,1.9028413,3212.7983426849983,6.501500606536865,1.6271536,3212.7501828058826
24,2.7378917,3.3690321,3213.2206382848703,4.445388,2.869339,3213.2489866201054,9.552092,2.2405066,3213.2660127608287,7.158639,2.2685838,3213.3312460964653,10.952356,1.8469683,3213.448875592308,5.1400776,1.906449,3213.5382020182506,3.882383942604065,1.6291065,3213.4900310486364
25,1.1263018,3.4310808,3213.9605948664707,1.5317229,2.9258993,3213.9889497299023,3.021263,2.285818,3214.005979791491,1.7763833,2.3111413,3214.071228149388,2.1873102,1.8688451,3214.1888847335413,0.7946219,1.9165134,3214.278231730022,4.965300798416138,1.6394036,3214.2300496673547
26,1.0291739,3.5028934,3214.700721848991,1.8325975,2.9545643,3214.729083242123,4.5713263,2.2974367,3214.7461172254802,4.1445646,2.3030343,3214.811380609096,9.735149,1.85255,3214.9290642877986,8.279864,1.8952886,3215.0184318595543,3.4840195178985596,1.6238782,3214.97023870128
27,1.1413637,3.517545,3215.4410192716655,2.0804014,2.977668,3215.469387196002,5.487943,2.3107533,3215.48642510203,5.3272076,2.3178399,3215.5517035148255,12.63982,1.8633535,3215.6694142943165,10.458731,1.9118968,3215.758802446085,15.303544998168945,1.6444106,3215.7105981896484
28,1.5503874,3.5082788,3216.1814871737506,2.4359741,2.9799948,3216.209861630795,5.5005975,2.3205822,3216.2269034603974,4.44229,2.3355393,3216.292196905834,8.937696,1.8800699,3216.409934792354,6.9678383,1.923441,3216.499343528875,13.103154182434082,1.6477361,3216.45112817172
29,1.1908841,3.5158873,3216.9221255944994,1.9228145,2.9826553,3216.950506585756,3.9505787,2.321722,3216.9675523398364,2.9253843,2.3338532,3217.0328608213754,4.743185,1.8789104,3217.150625821167,3.063334,1.9229461,3217.240055147181,6.376260757446289,1.6454824,3217.1918286867517
30,1.4186046,3.4888484,3217.662934573185,2.2584515,2.9665108,3217.6913221001587,5.326688,2.3049893,3217.7083717796213,4.346711,2.321863,3217.773695300725,8.038166,1.8709304,3217.8914874200323,5.3127146,1.9180226,3217.9809373402804,5.733524560928345,1.6433007,3217.9326997740195
31,1.3625498,3.483353,3218.4039141490784,2.1497736,2.9611595,3218.4323082132746,4.808147,2.3030453,3218.4493618190227,3.6974444,2.3261225,3218.5147003831553,7.242194,1.8813723,3218.632519628223,5.4152546,1.9370109,3218.7219901474477,7.26047158241272,1.663246,3218.6737414727977
32,0.7629659,3.5116677,3219.145064361472,1.2775624,2.9889913,3219.173464964396,3.4219947,2.3212616,3219.1905224973343,3.0343556,2.3392994,3219.255876107959,6.4113665,1.8861947,3219.3737224850342,4.6591153,1.9362785,3219.4632136079795,4.554290473461151,1.6602561,3219.4149538223824
33,1.5725172,3.4845884,3219.8863852496547,2.5080502,2.954711,3219.914792392812,4.28258,2.313315,3219.9318538538446,2.3486967,2.3352587,3219.997222514427,0.37312165,1.8946676,3220.1150960297573,-1.7185597,1.9488558,3220.2046077611676,3.0135140419006348,1.6602398,3220.156336862065
34,1.2346959,3.3804352,3220.627876852937,2.0580533,2.8703418,3220.6562905378337,3.6224532,2.245637,3220.673355927865,2.212342,2.2690299,3220.7387396418712,0.50718004,1.8524776,3220.8566403017066,-2.4783227,1.9185841,3220.946172646328,0.38213443756103516,1.6387664,3220.89789063116
35,1.5456456,3.3542304,3221.369539210625,2.6615586,2.8474228,3221.397959438768,6.8007317,2.2141602,3221.4150287587026,5.992531,2.2300024,3221.4804275295987,11.631062,1.808573,3221.59835534019,6.4539104,1.8731061,3221.6879083027693,1.260435938835144,1.6184348,3221.6396151689764
36,1.2612305,3.4172738,3222.111372362048,2.1427894,2.9022155,3222.1397991349436,5.7141,2.2587159,3222.156872385687,5.2869186,2.2722342,3222.22228621694,11.75534,1.8301016,3222.34024118454,8.532942,1.877145,3222.429814769825,4.213168025016785,1.6191095,3222.381510514847
37,0.6871596,3.4832182,3222.8533763465307,0.9554087,2.969483,3222.881809665686,1.8115253,2.3130796,3222.898886848144,1.1398891,2.3343208,3222.9643157432224,2.2182062,1.8826969,3223.0822978740844,2.4809763,1.9214853,3223.1718920868243,8.563549280166626,1.6440332,3223.1235767081
38,1.705158,3.4658709,3223.595551203419,2.9721918,2.9257126,3223.623991070342,6.52594,2.2773418,3223.641072185419,5.083228,2.2908723,3223.706516147792,7.524185,1.8647931,3223.8245254481712,3.098598,1.9342734,3223.9141402931164,6.062017202377319,1.6617347,3223.8658137880843
39,0.74106705,3.5688393,3224.3378969720566,1.8018115,3.0033603,3224.3663433882552,4.6600423,2.3381147,3224.3834284368572,5.1094246,2.3376927,3224.448887469994,13.646844,1.8684624,3224.5669239461477,11.732956,1.9152064,3224.656559428049,7.204272925853729,1.6537865,3224.6082217941466
40,0.31117618,3.556916,3225.080413691808,0.6151271,3.0043163,3225.1088666587902,2.5063105,2.334942,3225.125955641823,3.0504317,2.338803,3225.1914297491953,9.544375,1.8713243,3225.309493407381,8.721838,1.9168752,3225.3991495309915,17.519039154052734,1.6524444,3225.350800765656
41,1.0295019,3.5130188,3225.823101402039,1.8574654,2.9770255,3225.8515609213127,5.119552,2.3138573,3225.8686538396823,4.8239307,2.3247316,3225.9341430247605,9.522396,1.8718935,3226.0522338712385,6.7134805,1.9275082,3226.1419106413114,7.208531141281128,1.6616025,3226.0935507419795
42,1.4657677,3.528847,3226.5659601421203,2.5026615,2.9971535,3226.594426215195,6.006123,2.3308918,3226.611523069808,5.14452,2.3459768,3226.6770273360644,10.319107,1.8952391,3226.7951453770957,6.568411,1.9555148,3226.884842798385,10.407491445541382,1.6844002,3226.8364717624927
43,1.4627376,3.471036,3227.3089899514457,2.148358,2.9614413,3227.337462579831,4.9533825,2.3175938,3227.354563371593,3.7263932,2.3458214,3227.420082722501,6.297352,1.9048581,3227.5382279643477,3.1026025,1.9669257,3227.6279460416094,6.628753185272217,1.7008001,3227.5795638665923
44,1.7879193,3.525676,3228.0521908694027,3.1777601,3.0048594,3228.0806700546077,7.5660458,2.3409188,3228.0977747844263,6.6172256,2.3570273,3228.1633092234592,13.356188,1.9032884,3228.2814816723853,9.399163,1.960178,3228.3712204103763,3.817106246948242,1.6942133,3228.322827093669
45,0.8311461,3.551764,3228.7955629354024,1.5511581,3.0095973,3228.8240486789373,4.8665543,2.3418977,3228.8411573477183,4.9271336,2.3566828,3228.906706878351,11.663406,1.9182786,3229.024906540622,9.547259,1.9867976,3229.1146659441,12.770680904388428,1.7087148,3229.0662614831367
46,0.6066811,3.6092691,3229.53910618885,0.74946785,3.0718627,3229.567598492225,1.1946037,2.4058385,3229.5847111008766,0.36730182,2.433846,3229.650275726584,-0.90587354,1.9746683,3229.7685026084664,-0.7017597,2.029221,3229.858282682191,8.02146589756012,1.7338701,3229.8098670744052
47,1.4568839,3.5540793,3230.2828206691743,2.4795074,3.0306263,3230.3113195339,4.928397,2.38823,3230.328436083329,3.7091622,2.4330056,3230.394015807588,6.2170353,1.9899036,3230.5122699153503,3.1048038,2.0530438,3230.602070664081,1.5504679679870605,1.7533077,3230.553643906906
48,1.5629172,3.5891707,3231.0267064158,2.5622036,3.0486643,3231.0552118433875,5.6176553,2.388767,3231.0723323345014,4.430621,2.4218616,3231.1379271607884,7.7817965,1.9720011,3231.2562085007007,4.8276267,2.0326822,3231.3460299291987,9.034133195877075,1.7423208,3231.2975920200665
49,0.23092961,3.6932561,3231.770763468174,0.675838,3.119442,3231.799275460134,2.1993372,2.424872,3231.8163998938408,2.5187163,2.4331548,3231.8820098256338,6.086962,1.9610535,3232.000318403967,4.37519,2.0132003,3232.0901605169943,2.970752716064453,1.7314187,3232.0417114533375
50,-0.62775326,3.7174492,3232.5149918657385,-0.8992391,3.134458,3232.5435104235835,-1.6244813,2.440061,3232.5606388007905,-0.80139935,2.44636,3232.626263841568,0.45135835,1.9694654,3232.7445996645943,1.7418113,2.021162,3232.834462466915,3.946769595146179,1.7347486,3232.7860022461646
51,0.85127044,3.6336818,3233.2593916479586,1.2722435,3.0976703,3233.2879167732,2.72337,2.4260767,3233.305049094816,2.0191116,2.4592588,3233.3706892480573,3.783201,1.9946712,3233.489052322051,3.7039952,2.0440204,3233.578935818429,5.282574415206909,1.7432696,3233.5304644380153
52,1.611852,3.6038878,3234.003962854294,2.6015472,3.0669465,3234.032494548445,6.4645844,2.395242,3234.0496308153774,5.3534946,2.4221196,3234.115286084563,10.14658,1.9692873,3234.2336764158,6.4583406,2.0369372,3234.3235806110006,7.779908895492554,1.7589202,3234.275098068354
53,1.1824417,3.728439,3234.7487055242286,1.8003669,3.1735885,3234.777243788801,4.489516,2.477896,3234.7943840019598,3.6844382,2.5010362,3234.86005439057,6.74196,2.0272295,3234.978471985327,4.570107,2.0862162,3235.0683968841167,6.495957374572754,1.7922616,3235.0199031766674
54,0.78545153,3.8191795,3235.4936196972417,1.2492636,3.2552807,3235.5221645337488,3.1438992,2.5373502,3235.5393086940417,2.596324,2.5562723,3235.604994205559,4.876771,2.0595548,3235.723439070114,3.5072007,2.1098013,3235.813384677261,5.473982095718384,1.8093749,3235.764879802437
55,0.22713023,3.8812268,3236.2387054128335,0.4809397,3.2926247,3236.267256822789,1.3603616,2.5601654,3236.284404931125,1.4264188,2.5708148,3236.3501055690317,4.0984864,2.0665467,3236.468577709665,3.746047,2.118033,3236.5585440299383,6.897981822490692,1.8133563,3236.510027985168
56,0.9563636,3.8433404,3236.9839627105016,1.6372118,3.260565,3237.0125206954194,3.8476105,2.546165,3237.029672752708,3.4713187,2.5600915,3237.095388520487,7.8964596,2.0638,3237.2138879434797,6.6136537,2.1162798,3237.3038749816487,7.269423127174377,1.8133236,3237.2553477643605
57,1.4176362,3.8223777,3237.7293916297654,2.3668365,3.2387183,3237.757956191159,5.6736355,2.5241866,3237.775112198309,4.844814,2.5428865,3237.840843099446,9.636732,2.0634716,3237.9593698110803,6.7714243,2.1220136,3238.0493775719165,10.378100872039795,1.8196944,3238.000839179537
58,0.58638644,3.8029842,3238.47499221014,1.0499406,3.2230935,3238.503563349524,2.873973,2.5115435,3238.520723307446,2.7263854,2.5376663,3238.5864693454246,6.169256,2.0701885,3238.7050233519853,5.0229845,2.1327822,3238.7950518402604,8.535158395767212,1.8255206,3238.746502270216
59,1.632232,3.8109262,3239.2207644911628,2.8295708,3.2197976,3239.249342210053,6.6333,2.511395,3239.266506119656,5.637022,2.5299351,3239.332267297962,11.412399,2.0634453,3239.450848605735,8.766799,2.13195,3239.540897826222,11.14414358139038,1.8240418,3239.492337075939
60,1.0414596,3.813719,3239.966708512368,1.8381642,3.2272992,3239.9952928122784,4.4958696,2.522404,3240.012460674473,3.9327183,2.544859,3240.078236996593,8.81642,2.076943,3240.196845611865,7.4195642,2.144857,3240.286915569339,15.01123571395874,1.8270023,3240.2383436362425
61,0.27298582,3.9188154,3240.712824313311,0.5329244,3.3082926,3240.741415195758,1.1404366,2.5795577,3240.7585870114535,0.98364484,2.5988674,3240.8243784808756,2.091795,2.1158998,3240.9430144099347,1.7690514,2.1806982,3241.0331051091707,8.281198263168335,1.8564131,3240.9845219906856
62,1.5988917,3.777294,3241.4591119335464,2.6908014,3.1965022,3241.487709400045,5.3882303,2.520499,3241.504885170153,3.9852786,2.557219,3241.570691790365,6.154382,2.098569,3241.689355039501,2.792771,2.1782875,3241.779466485276,2.849842071533203,1.8681259,3241.7308721788263
63,0.4263672,3.8965292,3242.205571412639,0.82356364,3.3001542,3242.2341754647055,2.4771376,2.5697873,3242.251355190136,2.4995463,2.5875103,3242.317176964627,6.2685237,2.1004925,3242.435867540132,5.608116,2.1662967,3242.525999737223,4.477419018745422,1.8548534,3242.4773942402326
64,0.6410735,3.9402165,3242.9522027901717,1.0870255,3.3432703,3242.980813429323,2.2663333,2.614198,3242.997997110987,1.9064784,2.6403713,3243.0638340432465,4.759642,2.1448398,3243.182551951413,5.016964,2.2002373,3243.272704904599,13.721729755401611,1.8653547,3243.2240882144906
