,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5,flux_radius_6,ivar_radius_6,Wavelength_radius_6,flux_radius_7,ivar_radius_7,Wavelength_radius_7
0,1.725908,3.9387221,3178.6997869968845,3.7638478,3.1402595,3178.6928026232245,5.269603,2.7004151,3178.648194817858,5.8669558,2.4019985,3178.539362015309,1.0916595,3.2356195,3178.6397972163413,4.816316,1.9606084,3178.6077453926864,2.2200994,2.0726542,3178.673304742531
1,0.69472617,4.111084,3179.4317939435305,1.8817363,3.2588837,3179.4248079614736,3.1649764,2.781502,3179.380189883598,4.924236,2.4451277,3179.271332018485,1.3092903,3.2674506,3179.3717903482398,6.790515,1.9741938,3179.3397311435297,4.170938,2.0812485,3179.4053055907107
2,0.69289637,4.137646,3180.1639694604078,1.9648083,3.270607,3180.156981869584,3.39112,2.7867332,3180.1123535168335,5.639267,2.4410388,3180.0034705833846,1.6820681,3.2441103,3180.1039520471877,8.349325,1.966454,3180.071885459723,3.9845018,2.0823338,3180.137475007717
3,1.3380089,4.083087,3180.896313586343,3.226328,3.2347066,3180.8893243863818,5.1305943,2.7643666,3180.8446857563895,6.9544764,2.4375892,3180.7357777488323,1.5910873,3.2671096,3180.8362823520115,8.383937,1.9730979,3180.804208380092,3.553637,2.0909808,3180.8698130323764
4,0.8403529,4.124446,3181.628826360157,2.0640721,3.2747846,3181.621835550687,3.7474546,2.7832615,3181.5771866410873,5.8667316,2.4459262,3181.468253553647,1.4929665,3.2802255,3181.568781301531,9.015959,1.97714,3181.5366999434564,4.301455,2.0982249,3181.6023197035097
5,0.56701386,4.1901855,3182.3615078206935,1.2354472,3.3328736,3182.354515401345,2.1999016,2.8355153,3182.3098562097703,3.7657394,2.483674,3182.200898036672,1.0100806,3.3151822,3182.30144893459,7.871217,1.9916581,3182.2693601886594,5.4835806,2.0962403,3182.33499505996
6,0.029505204,4.1524324,3183.094358006792,-0.29036257,3.3202162,3183.0873639771944,-0.78993344,2.838104,3183.042694501277,-1.7587838,2.5059726,3182.933711236743,-0.61548424,3.3554227,3183.034285290027,-3.1588726,2.0175836,3183.0021891545384,-1.8909837,2.1156337,3183.0678391405672
7,0.79740477,4.1304393,3183.8273769573143,1.808689,3.2901354,3183.8203813170962,2.740661,2.8127015,3183.7757015544676,3.6918366,2.4839046,3183.6666931927207,0.7921697,3.3334935,3183.7672904067026,3.3405862,2.0172634,3183.7351868799547,1.1957495,2.1228712,3183.800851984192
8,0.9759287,4.1224422,3184.5605647111174,2.2277913,3.2866263,3184.5535674599087,3.4674344,2.812402,3184.5088774081996,5.1265078,2.482735,3184.39984394346,1.3047018,3.327806,3184.5004643234734,7.247485,2.0143917,3184.468353403764,4.268423,2.1252995,3184.5340336296913
9,0.7304193,4.1853766,3185.2939213070813,1.8749948,3.3223388,3185.2869224445103,2.97185,2.841634,3185.2422221013517,4.237144,2.50204,3185.1331635278384,0.9604497,3.3460557,3185.233807079218,3.9788933,2.0241075,3185.201688764845,0.77669847,2.1352417,3185.2673841159444
10,0.7059197,4.1774983,3186.0274467840804,1.7341616,3.3244436,3186.020446309776,2.8589156,2.8351204,3185.9757356727982,3.7212415,2.4977248,3185.866651984729,0.7721274,3.3435884,3185.967318712811,3.5469575,2.029204,3185.9351930020716,1.1190437,2.1431718,3186.000903481826
11,0.075143285,4.2072597,3186.761141181013,0.44105458,3.312933,3186.7541390946044,0.7072483,2.8396473,3186.7094181614366,1.6345687,2.4949617,3186.600309353028,0.58613646,3.341441,3186.7009992631492,4.4283957,2.00887,3186.66886615434,3.012457,2.113279,3186.7345917662333
12,0.287185,4.1722193,3187.495004536772,0.883418,3.2895236,3187.4880008378873,1.453582,2.8133748,3187.4432696061585,2.4588041,2.4755497,3187.3341356716255,0.6148757,3.331581,3187.434848769125,5.031055,2.0082781,3187.402708260542,4.138426,2.10755,3187.4684490080595
13,1.2917805,4.036642,3188.229036890272,2.8509398,3.219006,3188.2220315785407,4.1601906,2.762971,3188.177290045879,4.7175846,2.4506361,3188.068130979436,0.6858881,3.3133028,3188.168867269653,1.7031637,2.0006344,3188.1367193595925,-1.8681078,2.1176586,3188.202475246219
14,1.0978537,4.0055037,3188.963238280425,2.4217827,3.2030034,3188.956231355475,4.020182,2.747009,3188.9114795195087,5.33078,2.438903,3188.8022953153677,1.2932843,3.279136,3188.9030548036435,7.7686257,1.9871302,3188.870899490401,4.2173615,2.104409,3188.9366705196235
15,0.77724636,4.0566444,3189.697608746163,1.7835145,3.2322311,3189.6906002076234,2.740199,2.7697372,3189.6458380659797,3.467267,2.4567354,3189.536628718352,0.7883755,3.3051481,3189.6374114100286,5.0000467,1.9945474,3189.605248691899,3.6156707,2.0989785,3189.671034867204
16,0.6945313,4.081914,3190.4321483264157,1.8411243,3.2361221,3190.425138173915,2.6056516,2.772393,3190.3803657242206,3.2772527,2.4529145,3190.2711312273154,0.5181546,3.3097782,3190.3719371277366,1.9347248,2.001363,3190.3397670030145,-0.083329394,2.1090782,3190.4055683278907
17,1.4261858,4.013869,3191.1668570601346,3.4151087,3.1874187,3191.159845293301,5.5074925,2.7314107,3191.1150625331816,8.111424,2.4152246,3191.005802881208,1.9715066,3.246769,3191.1066319957185,10.763815,1.9690081,3191.074454462698,3.6991162,2.091866,3191.1402709406343
18,1.0434895,4.08083,3191.9017349862665,2.665644,3.2331216,3191.8947216047272,4.4384723,2.7554405,3191.8499285318094,6.6298766,2.429274,3191.740643718975,1.5200667,3.2685115,3191.84149605292,7.9298286,1.9829825,3191.809311109896,2.444892,2.102569,3191.875142744381
19,0.92485845,4.1160727,3192.63678214378,2.2315493,3.2679517,3192.6297671471643,3.4071012,2.791997,3192.5849637590727,4.6466155,2.461061,3192.475653779583,1.0428321,3.304947,3192.5765293383097,4.8498425,2.0031853,3192.5443369835752,1.6778259,2.1224892,3192.6101837780993
20,0.7462628,4.1584067,3193.3719985716402,1.9190755,3.2924268,3193.3649819595757,2.8250933,2.8177092,3193.320168253935,4.079359,2.480253,3193.2108331019945,0.9355926,3.3310606,3193.311731890851,5.1350646,2.01515,3193.2795321227,2.8909554,2.1301663,3193.3453940807544
21,1.0786395,4.113384,3194.107384308834,2.5609415,3.270886,3194.100366080949,3.913581,2.8056183,3194.0555420553833,5.42049,2.4853754,3193.9461817251945,1.0530827,3.3614979,3194.047103749531,5.728946,2.0264113,3194.0148965662556,1.9538735,2.1415858,3194.0807736913325
