,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4
0,8.552792,3.218749,3511.332077887473,110.338394,1.6267859,3511.4995832921804,77.73291778564453,1.4155442,3511.6373081188026,80.1176986694336,1.2026129,3511.742023254055
1,8.303453,3.203877,3512.1406850681537,104.32638,1.629222,3512.308229046847,133.91873931884766,1.4303974,3512.445985589434,161.90792083740234,1.2067244,3512.550724839013
2,7.477146,3.2408519,3512.9494784589524,92.7048,1.65006,3513.117061020514,123.55612564086914,1.4419527,3513.254849286369,145.58763122558594,1.2166686,3513.3596126558286
3,8.424503,3.237782,3513.7584581027572,107.098465,1.638379,3513.9260792560726,124.0877685546875,1.4390434,3514.0638992525014,134.42374801635742,1.2237192,3514.168686747396
4,8.291425,3.2216272,3514.5676240424527,104.693146,1.6387595,3514.7352837964086,120.29928207397461,1.4447383,3514.873135530718,139.73423767089844,1.2336268,3514.977947156603
5,8.25278,3.2269,3515.376976320947,102.06489,1.6464144,3515.544674684433,119.8322525024414,1.4572418,3515.6825581639323,121.75630950927734,1.2476501,3515.787393926364
6,8.230915,3.233103,3516.1865149811442,104.4144,1.6408123,3516.3542519630514,126.3135757446289,1.4522228,3516.49216719505,120.85162734985352,1.239532,3516.597027099588
7,8.146308,3.2239418,3516.996240065972,102.01901,1.6422293,3517.1640156751932,122.99081039428711,1.4473071,3517.3019626670043,154.88946914672852,1.2292727,3517.406846719208
8,9.788389,3.1757107,3517.8061516183543,121.791275,1.6171855,3517.9739658637855,132.06757354736328,1.4411151,3518.111944622722,159.84056091308594,1.2317127,3518.216852828152
9,10.329393,3.135583,3518.616249681239,129.65207,1.5954659,3518.784102571777,157.13839721679688,1.4320532,3518.9221131051554,169.8080291748047,1.23408,3519.0270454693728
10,9.054132,3.1997228,3519.4265342975687,118.09259,1.6218054,3519.594425842113,149.3069839477539,1.4402792,3519.7324681572504,184.65131378173828,1.2390589,3519.8374246858193
11,9.427359,3.184054,3520.2370055103124,121.85143,1.6118095,3520.404935717765,149.49187469482422,1.4422934,3520.543009821979,176.73816680908203,1.2472892,3520.647990520465
12,8.766727,3.2265685,3521.0476633624326,110.08786,1.6409663,3521.2156322416963,142.52662658691406,1.4586756,3521.3537381423084,159.52786254882812,1.2434716,3521.4587430162765
13,8.841629,3.2350655,3521.8585078969168,111.26735,1.6422246,3522.0265154568974,139.5857696533203,1.4609238,3522.1646531612296,171.36962890625,1.251159,3522.269682216247
14,8.555988,3.2558415,3522.669539156748,107.97299,1.6551799,3522.837585406353,126.59268188476562,1.4710556,3522.9757549217297,135.53636932373047,1.2581255,3523.0808081633654
15,6.966327,3.3408167,3523.4807571849333,90.36578,1.6796155,3523.6488421330723,113.63566207885742,1.4864434,3523.7870434668184,146.95895767211914,1.2631481,3523.892120900642
16,6.718111,3.3461766,3524.2921620244747,85.496086,1.6877205,3524.4602856800598,116.69046401977539,1.4800825,3524.598518839503,152.08516693115234,1.2603732,3524.7036204710857
17,6.766062,3.3462558,3525.1037537184006,84.7138,1.6872481,3525.2719160903453,115.07077407836914,1.4910604,3525.4101810828147,131.61277770996094,1.2756076,3525.5153069177286
18,6.345463,3.3702955,3525.9155323097334,81.32027,1.697711,3526.0837334069533,97.59777450561523,1.4996634,3526.222030239779,123.68906021118164,1.2812432,3526.3271802835984
19,7.248879,3.3558533,3526.72749784152,98.85899,1.6781954,3526.8957376729327,117.19762420654297,1.4764956,3527.0340663534475,119.88151931762695,1.288311,3527.139240611747
20,7.7102785,3.3173575,3527.5396503568013,103.25905,1.6611949,3527.7079289313274,129.38885116577148,1.4725981,3527.8462894668655,113.90607452392578,1.2882078,3527.951487945221
21,8.164525,3.2977405,3528.3519898986456,104.02499,1.6625624,3528.5203072252066,126.13037490844727,1.4825319,3528.6586996231035,133.65019989013672,1.2856622,3528.7639223270926
22,8.904459,3.277546,3529.164516510118,115.360214,1.6576015,3529.3328725976385,133.621337890625,1.4790411,3529.4712968652316,156.6168670654297,1.2851585,3529.5765438004332
23,9.033386,3.2588387,3529.9772302342944,113.46315,1.6541154,3530.1456250917,142.81888580322266,1.4861002,3530.2840812363283,163.73377990722656,1.2832569,3530.389352408323
24,7.767043,3.3118048,3530.790131114272,97.60892,1.6799785,3530.9585647504905,123.188720703125,1.4967344,3531.097052779495,142.14627075195312,1.287861,3531.2023481938636
25,7.663499,3.3290472,3531.6032191931413,99.7607,1.6797162,3531.7716916171034,119.17288970947266,1.4910655,3531.9102115378264,146.07848358154297,1.2789898,3532.0155312001516
26,8.241213,3.33194,3532.41649451402,108.15994,1.6808008,3532.5850057346574,134.70521926879883,1.4806541,3532.7235575544437,167.53006744384766,1.2787178,3532.8289014703096
27,8.392936,3.315443,3533.2299571200188,106.1799,1.6839219,3533.3985071462666,137.02271270751953,1.4950051,3533.5370908724612,158.73536682128906,1.2932583,3533.642459047453
