,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5
0,0.44466418,4.7487817,3519.916166779538,2.3477251529693604,2.1569061,3520.296632941345,4.080572605133057,1.8149331,3520.609416048921,24.36162757873535,1.478777,3520.795945884039,29.345352172851562,1.3433267,3521.0596931076475
1,0.17131867,4.867296,3520.726750747308,9.312722206115723,2.1605833,3521.1073045247726,9.678115844726562,1.7989535,3521.4201596616135,23.58301544189453,1.4745337,3521.606732451759,38.43154525756836,1.3392161,3521.870540412402
2,0.27282763,4.8459826,3521.5375213804205,5.932343006134033,2.1609447,3521.9181627937196,14.211756706237793,1.8098233,3522.231089976412,30.804503440856934,1.4928488,3522.417705731476,17.196096420288086,1.3552679,3522.681574443141
3,0.46779618,4.720097,3522.3484787218686,9.511055946350098,2.1435363,3522.7292077911834,12.853828430175781,1.8117601,3523.042207036319,21.87202262878418,1.4953058,3523.2288657661957,27.812788486480713,1.3717558,3523.4927952428725
4,0.20178846,4.766459,3523.159622814641,10.736335754394531,2.1571393,3523.5404395601577,20.71548843383789,1.8213385,3523.8535108843303,34.323771476745605,1.5057412,3524.040212598917,43.93496513366699,1.3737097,3524.3042028545988
5,0.5065341,4.816801,3523.9709537017516,6.003156423568726,2.1679268,3524.35185814366,20.11905574798584,1.8173531,3524.6650015634696,32.61318492889404,1.5043899,3524.8517462726645,44.854716300964355,1.3791978,3525.1157973213476
6,0.2731502,4.823379,3524.7824714262083,11.23589563369751,2.1668935,3525.1634635847045,9.247623860836029,1.8093358,3525.476679116753,24.91683053970337,1.5037566,3525.6634668304573,40.08576011657715,1.3795792,3525.9275786861417
7,0.48098993,4.871321,3525.594176031045,8.964459419250488,2.203641,3525.975255926329,18.641921043395996,1.8464011,3526.288543587222,32.89171028137207,1.5166371,3526.4753743153387,35.75600242614746,1.3785536,3526.7395469920275
8,0.6112058,4.7876534,3526.4060675592905,10.58398723602295,2.1832566,3526.7872352115655,21.384459495544434,1.829708,3527.1005950179147,34.32413196563721,1.509568,3527.2874687703493,31.77223300933838,1.3879273,3527.551702282048
9,0.099341676,5.0248547,3527.2181460539964,7.247203350067139,2.228039,3527.5994014834723,14.00484037399292,1.8435822,3527.912833451891,33.639577865600586,1.5188278,3528.0997502385517,39.5644588470459,1.3990293,3528.3640445992705
10,0.55229735,4.905537,3528.030411558212,9.705412149429321,2.1943448,3528.411754785102,20.998247146606445,1.8445854,3528.7252589322084,35.45503520965576,1.5221382,3528.912218763005,30.17723846435547,1.3990566,3529.176573986756
11,0.50462115,4.777977,3528.84286411501,12.427310943603516,2.1771553,3529.224295159533,19.43722438812256,1.8321297,3529.537871501948,28.562631607055664,1.5095121,3529.7248743867935,26.845962524414062,1.3887452,3529.989290487593
12,0.48081854,4.781735,3529.655503767458,7.610872745513916,2.1838815,3530.037022649837,12.538233280181885,1.8432344,3530.3506712041867,29.331053733825684,1.514952,3530.5377171529954,18.91911745071411,1.3903333,3530.802194144862
13,0.70356494,4.748433,3530.4683305586486,14.802041053771973,2.1590369,3530.849937299112,19.85459280014038,1.8237559,3531.1636580820254,34.02659797668457,1.5087202,3531.350747104714,38.00105285644531,1.3865794,3531.61528500167
14,0.30264348,4.9487104,3531.281344531671,12.633081436157227,2.2089095,3531.6630391504505,18.639967918395996,1.8426675,3531.976832178561,30.7705020904541,1.5106318,3532.163964285049,51.0673770904541,1.3810877,3532.4285631011203
15,0.086839266,5.046362,3532.094545729636,4.86814272403717,2.2323837,3532.4763282469685,18.44103479385376,1.8519047,3532.790193536913,41.201974868774414,1.5165519,3532.9773687371226,39.85820960998535,1.3812476,3533.242028486338
16,0.3270747,4.9894576,3532.9079341956526,7.393011093139648,2.1857753,3533.2898046317796,14.979304790496826,1.8293654,3533.603742200199,38.20462989807129,1.5136794,3533.7909605040536,36.34442710876465,1.3783438,3534.0556812004443
17,0.559849,4.886522,3533.7215099728523,14.228786945343018,2.168406,3534.103468348021,19.16579246520996,1.826066,3534.4174782115597,29.204753875732422,1.5061597,3534.604739628985,40.72807502746582,1.3780591,3534.8695212865873
18,0.50341904,4.886921,3534.5352731043636,12.65388011932373,2.190472,3534.9173194388245,22.269989490509033,1.8396578,3535.2314016141313,39.45142364501953,1.5067585,3535.418706155056,47.33241653442383,1.3734635,3535.6835487879075
19,0.40656188,4.882361,3535.349223633338,10.513134002685547,2.2175303,3535.731357947347,22.298418045043945,1.8611463,3536.0455124510745,46.58529472351074,1.5284743,3536.232860125429,53.87469673156738,1.380754,3536.4977637475718
20,0.28497767,4.977338,3536.163361602923,4.957663059234619,2.2336872,3536.5455839167407,16.83686923980713,1.8693303,3536.8598107655444,43.061702728271484,1.537481,3537.047201583262,51.5728645324707,1.3916544,3537.312166208741
21,0.5065383,4.9113274,3536.9776870562914,9.80840516090393,2.2070913,3537.3599973901823,9.205066680908203,1.8481518,3537.6742966007223,22.576575756072998,1.5225222,3537.861730571739,54.78885078430176,1.3881665,3538.1267562146018
22,0.5330811,4.890149,3537.7922000366134,16.387227058410645,2.1929734,3538.174598410848,22.312281131744385,1.8370048,3538.488969999788,34.55546569824219,1.5238212,3538.6764471340402,49.45905303955078,1.3887855,3538.941533808339
23,0.25461262,4.9926786,3538.6069005870704,10.326167106628418,2.2284226,3538.9893870219225,26.918654441833496,1.8554821,3539.3038310059305,49.530168533325195,1.5268083,3539.4913513133583,56.513784408569336,1.3928578,3539.7564990331475
24,0.37427247,4.94437,3539.421788750865,9.429985046386719,2.2114334,3539.804363266613,25.29048728942871,1.8380436,3540.1188796623605,42.16663932800293,1.5225229,3540.3064431529065,44.0723934173584,1.4023235,3540.571651932244
25,0.44479355,4.9072223,3540.2368645711927,12.346465110778809,2.195207,3540.6195271881215,24.701961517333984,1.8347547,3540.934116012284,43.6666145324707,1.527241,3541.121722695892,52.50955581665039,1.3964269,3541.386992548839
26,0.30397716,5.00654,3541.052128091277,11.498424530029297,2.2322567,3541.4348788296747,26.699804306030273,1.866691,3541.749540098931,49.424930572509766,1.5424048,3541.937189985548,58.24733352661133,1.4008975,3542.2025209261683
27,0.33173597,5.0829606,3541.8675793543343,10.958443641662598,2.2398121,3542.2504182344933,23.765525817871094,1.8769854,3542.5651519655266,42.521793365478516,1.5523299,3542.752845065102,57.889522552490234,1.411653,3543.0182371074634
28,0.40216187,5.0371914,3542.6832184036057,10.08575177192688,2.2541988,3543.0661454458245,19.526262283325195,1.8925787,3543.3809516553215,44.5610466003418,1.5579909,3543.568687977806,53.99851989746094,1.4235872,3543.8341411359797
29,0.35436487,5.0702252,3543.49904528233,6.474575996398926,2.2885108,3543.8820605069104,21.296807289123535,1.8873552,3544.196939211562,53.56008720397949,1.5475969,3544.3847187669094,54.936330795288086,1.429817,3544.650233054969
30,0.42520484,5.014619,3544.3150600337667,10.391004085540771,2.2708364,3544.6981634610165,24.29789447784424,1.8781211,3545.013114677517,51.184688568115234,1.5440745,3545.200937475683,58.97651290893555,1.421019,3545.466512907706
31,0.36535695,5.072759,3545.1312627011744,11.279816150665283,2.2486057,3545.5144543514048,25.608196258544922,1.8687909,3545.8294780964525,41.340105056762695,1.5634259,3546.0173441473958,49.96562194824219,1.4330868,3546.282980737463
32,0.53504103,5.078904,3545.9476533278335,12.96037244796753,2.2537322,3546.330933221361,15.845442295074463,1.9090933,3546.6460295116585,33.088868141174316,1.5806074,3546.8339388253394,41.80609321594238,1.4402504,3547.099636587534
33,0.7821495,4.865436,3546.7642319570214,16.179880142211914,2.2305372,3547.1476001141673,23.447389602661133,1.9094826,3547.4627689664208,42.514509201049805,1.5727408,3547.6507215528018,53.788108825683594,1.4412327,3547.916480501211
34,0.330344,5.0642185,3547.58099863204,12.775457382202148,2.269482,3547.96445507313,29.772923469543457,1.8908426,3548.2796965040493,54.13345718383789,1.5573846,3548.4676923730954,49.21400260925293,1.4283177,3548.7335125218096
35,0.64746225,4.874927,3548.3979533961856,13.496134281158447,2.2127934,3548.78149814155,25.63938808441162,1.8617616,3549.0968121678484,45.20902442932129,1.548554,3549.2848513295276,45.67727279663086,1.4144057,3549.55073269264
36,0.744426,4.8248386,3549.2150962927794,16.630218029022217,2.1968637,3549.5987293627536,25.44572162628174,1.8727642,3549.9141160011495,42.785348892211914,1.5554432,3550.1021984654303,41.628570556640625,1.4197546,3550.3681410570384
37,0.6597734,4.9306684,3550.0324273651395,14.636332511901855,2.2338402,3550.416148780063,27.092512130737305,1.8812586,3550.7316080472774,41.08333206176758,1.565119,3550.9197338241324,49.00584030151367,1.4278883,3551.1857376583357
38,0.44885874,5.132798,3550.849946656605,14.373730182647705,2.2922885,3551.2337564368227,22.621171951293945,1.9114299,3551.549288349581,43.12346363067627,1.5729104,3551.7374574489845,57.19464874267578,1.4437481,3552.003522539886
39,0.3392185,5.131633,3551.6676542105147,8.953466176986694,2.3278868,3552.051552376375,20.649561405181885,1.9541922,3552.3671569514067,37.106913566589355,1.6065251,3552.5553693833353,40.038644790649414,1.4630748,3552.821495745042
40,0.13874714,5.264745,3552.485550070229,4.812092304229736,2.3391018,3552.8695366420866,18.24846315383911,1.9537883,3553.185213896124,36.4877815246582,1.600818,3553.3734696705565,44.39850997924805,1.4540392,3553.639657317178
41,0.22803883,5.2148223,3553.3036342791083,6.321497678756714,2.3296957,3553.687709277322,14.459640502929688,1.9492251,3554.0034592271027,31.626630783081055,1.6043444,3554.19175835402,52.06218910217285,1.4530683,3554.458007299669
42,0.31059018,5.261316,3554.121906880523,9.21221113204956,2.3328795,3554.5060703254553,17.631775379180908,1.9389111,3554.82189298772,33.07064151763916,1.611957,3555.0102354771057,41.82820510864258,1.4671906,3555.2765457358987
43,0.23976848,5.2416744,3554.9403679178645,7.364884614944458,2.361653,3555.324619829884,16.398698806762695,1.9661467,3555.6405152213765,35.4081916809082,1.6201075,3555.8289010832164,46.79947280883789,1.476373,3556.095272669273
44,0.27837133,5.2175083,3555.759017434519,5.192469358444214,2.3638177,3556.1433578339984,12.319434642791748,1.9853712,3556.4593259714675,29.7804536819458,1.6260213,3556.64775521575,50.36566352844238,1.4852298,3556.9141881431924
45,0.45951906,5.2198586,3556.5778554738986,9.719207763671875,2.3273945,3556.9622843812144,20.688576698303223,1.9729894,3557.2783252814133,37.167898178100586,1.6316004,3557.4667979181277,38.9051570892334,1.4913603,3557.733292201083
46,0.6785302,5.0766234,3557.3968820794094,14.953771114349365,2.2965415,3557.7813995149445,20.761075973510742,1.96036,3558.097513194628,35.76815986633301,1.628639,3558.2860292337677,37.43642997741699,1.4880524,3558.5525848863645
47,0.5904533,5.108088,3558.2160972944826,13.168489933013916,2.321549,3558.6007032786233,13.855833530426025,1.9914402,3558.9168897545524,28.67983627319336,1.6456397,3559.105449206112,43.97938346862793,1.4919231,3559.3720662424826
48,0.4683374,5.233979,3559.035501162545,13.648046493530273,2.368018,3559.4201957156824,22.80923080444336,1.9816266,3559.736455004621,41.18476867675781,1.6337707,3559.9250578785977,48.962636947631836,1.4949453,3560.191736312878
49,0.59001184,5.201405,3559.855093727048,12.416316986083984,2.3754315,3560.239876869579,22.712899684906006,1.99253,3560.556208988294,36.26199531555176,1.6352524,3560.7448552946876,51.003543853759766,1.4942636,3561.0115951410166
50,0.5609615,5.2920246,3560.674875031438,12.690873622894287,2.3857403,3561.059746783763,21.842341423034668,1.9975692,3561.3761517490266,38.43629455566406,1.6416321,3561.564841497839,44.75356674194336,1.4914297,3561.831642770359
51,0.42232004,5.435407,3561.494845119187,14.009699821472168,2.379067,3561.8798055017114,27.280728340148926,1.9879059,3562.196283330299,44.53622627258301,1.6440127,3562.385016531534,45.330739974975586,1.4910831,3562.651879244391
52,0.700938,5.277342,3562.3150040337605,15.93096399307251,2.3646216,3562.7000530668943,26.142128944396973,1.9996516,3563.0166037755857,41.99713134765625,1.6519072,3563.20538043925,56.26510429382324,1.5026132,3563.472304606592
53,0.5394752,5.441227,3563.1353518186506,13.814100742340088,2.4332378,3563.520489522809,23.99345588684082,2.0247686,3563.8371131283866,40.97174072265625,1.6645797,3564.0259332644887,47.84901237487793,1.5237195,3564.292918900468
54,0.3962406,5.4886336,3563.9558885173437,12.497397422790527,2.4539518,3564.341114912946,24.244343757629395,2.0261958,3564.6578114321974,42.44735336303711,1.6610596,3564.8466750507487,47.5318660736084,1.5301863,3565.1137221695208
55,0.37252173,5.488816,3564.776614173351,9.371198654174805,2.4600196,3565.1619292808223,20.406763553619385,2.059889,3565.4786987305383,35.6033878326416,1.6890002,3565.6676058415514,42.745460510253906,1.5446517,3565.9347144572753
56,0.40929434,5.486735,3565.5975288301797,10.197290420532227,2.4561079,3565.9829326699482,20.12985134124756,2.048931,3566.2997750669238,38.68951988220215,1.6969188,3566.488725680415,44.14047622680664,1.5602213,3566.755895807252
57,0.4406256,5.5309973,3566.4186325313603,12.210124492645264,2.4755094,3566.8041251238606,22.877041816711426,2.0728333,3567.1210404848935,44.276987075805664,1.7175227,3567.310034610881,49.43790817260742,1.5669911,3567.577266262996
58,0.22588037,5.6586204,3567.2399253204208,8.096671342849731,2.5170753,3567.6255066860904,16.757676124572754,2.1127326,3567.9424950279845,27.378732681274414,1.737531,3568.131532676488,43.8402099609375,1.5727392,3568.3988258680492
59,0.29495624,5.584115,3568.0614072409116,5.927534580230713,2.5150058,3568.4470774001943,14.366000175476074,2.1029203,3568.764138739755,23.32725715637207,1.7248243,3568.9532199207974,39.01930618286133,1.5766418,3569.220574665977
60,0.47018245,5.5201874,3568.8830783363805,9.78660774230957,2.4924703,3569.2688373097235,16.75327157974243,2.0809875,3569.5859716637615,35.494171142578125,1.7134569,3569.7750963873673,33.23934459686279,1.5874181,3570.0425127003405
61,0.22510289,5.606648,3569.704938650398,9.282976865768433,2.525984,3570.0907864582546,19.98870849609375,2.0991898,3570.407993843584,40.81842803955078,1.7291448,3570.5971621197805,38.265594482421875,1.5909781,3570.8646400147245
62,0.18441044,5.685442,3570.526988226535,5.9913623332977295,2.535412,3570.912924889362,16.979636192321777,2.1074803,3571.2302053228004,33.83249282836914,1.7392635,3571.4194171616177,44.29141426086426,1.605282,3571.6869566527143
63,0.26610228,5.7023926,3571.3492271083724,6.75945520401001,2.5320477,3571.7352526466316,16.908384799957275,2.1212397,3572.0526061450014,29.340665817260742,1.7491612,3572.2418615564707,29.181788444519043,1.6097873,3572.509462657905
64,0.3246293,5.5978384,3572.1716553395113,9.063795566558838,2.5484455,3572.55776977367,16.410277843475342,2.1370149,3572.875196353796,28.457307815551758,1.7537949,3573.0644953479523,35.2494421005249,1.6145788,3573.3321580739116
65,0.36583608,5.667682,3572.9942729635486,5.741848945617676,2.5484288,3573.3804763140774,18.841005325317383,2.1441479,3573.697975992791,35.41679763793945,1.7733593,3573.8873185796697,29.935527801513672,1.6246471,3574.155042944345
66,0.39160565,5.6564684,3573.8170800241064,10.349583625793457,2.5598123,3574.203372311482,11.7965407371521,2.1540709,3574.5209451056153,29.02216625213623,1.783468,3574.710331295256,40.0190544128418,1.6267036,3574.978117312842
67,0.4273314,5.7237425,3574.640076564802,10.061179161071777,2.5811446,3575.0264578095052,20.764822959899902,2.168038,3575.3441037358957,37.49347972869873,1.7959974,3575.533533538339,43.64151191711426,1.6486423,3575.8013812230342
68,0.3601766,5.7527504,3575.4632626292764,9.107693672180176,2.558585,3575.8497328517924,17.980140686035156,2.1587672,3576.167451927282,33.024757385253906,1.7927238,3576.356925352571,24.102376461029053,1.6546375,3576.6248347185756
69,0.5181964,5.721918,3576.286638261167,13.622857570648193,2.5692222,3576.6731974819863,16.40605878829956,2.1744783,3576.9909897234197,28.17189311981201,1.802677,3577.1805067816003,42.60813522338867,1.6512821,3577.4484778431192
70,0.48172808,5.561498,3577.1102035041363,10.31600284576416,2.5649846,3577.4968517437537,18.349781036376953,2.1804674,3577.8147171679802,26.319619178771973,1.8069576,3578.0042778691004,32.265357971191406,1.6615312,3578.272310640341
71,0.75512034,5.5178766,3577.9339584018408,13.928988456726074,2.5561786,3578.320695680756,22.496026039123535,2.1866302,3578.6386343046283,33.65608215332031,1.8199822,3578.828238658739,32.742740631103516,1.6724248,3579.0963331539115
72,0.32392028,5.8239717,3578.7579029979624,12.674181938171387,2.646283,3579.1447293366805,22.199594497680664,2.211355,3579.4627411770552,32.649081230163574,1.8432928,3579.6523891942084,37.3386344909668,1.6863294,3579.920545427527
73,0.33190054,5.8674393,3579.5820373361794,10.131361484527588,2.6578474,3579.968952755208,20.803987503051758,2.2267435,3580.2870378289467,37.72209930419922,1.8423696,3580.4767295191973,39.99822998046875,1.6871065,3580.7449475048797
74,0.529734,5.9258513,3580.406361460193,9.165009260177612,2.6976047,3580.7933659800474,22.021121978759766,2.2676325,3581.111524304013,35.55765247344971,1.8585428,3581.301259677419,41.71492385864258,1.6934452,3581.569539429686
75,0.2470505,6.0337286,3581.230875413701,8.706760883331299,2.6895094,3581.6179690548993,16.35234546661377,2.242713,3581.936200645962,30.362567901611328,1.8540161,3582.1259797125817,30.357830047607422,1.7038759,3582.394321245657
76,0.5573684,6.009998,3582.0555792404252,10.87337613105774,2.7042496,3582.442762023491,16.38715696334839,2.2537706,3582.761066898522,21.564693450927734,1.8653723,3582.9508896684183,38.28215217590332,1.6994447,3583.219292996529
77,0.2880262,5.9486523,3582.880472984084,9.378075361251831,2.7100928,3583.267744929545,13.51879358291626,2.2674565,3583.586123105421,31.542201042175293,1.8734006,3583.7759895886575,38.59516716003418,1.7036808,3584.0444547260345
78,0.5794086,6.022215,3583.70555668842,10.300084590911865,2.72612,3584.092917816809,22.98334503173828,2.2773802,3584.4113693104096,37.42351531982422,1.8618687,3584.601279517053,37.90821838378906,1.7019149,3584.8698064779296
79,0.37251166,5.9892693,3584.5308303971697,9.183915853500366,2.7141507,3584.918280729024,13.081312656402588,2.2858598,3585.2368055572338,20.843701362609863,1.8743092,3585.426759497353,35.64126968383789,1.713663,3585.6953482959666
80,0.34332827,6.171623,3585.3562941540963,8.139672040939331,2.7621036,3585.743833709959,18.918892860412598,2.3086317,3586.062431889665,42.752328872680664,1.8888824,3586.2524295733315,36.18628692626953,1.7217642,3586.521080223922
81,0.44413972,6.0650773,3586.1819480029617,10.532718896865845,2.7405162,3586.569576803379,19.347851753234863,2.3070629,3586.888248351473,33.249237060546875,1.9026402,3587.0782897887602,36.38735008239746,1.7278262,3587.3470023055716
82,0.124751866,6.104878,3587.0077919875366,5.762309193611145,2.7316148,3587.3955100530598,10.114142894744873,2.30222,3587.7142549864384,21.195143699645996,1.9164358,3587.904340187422,35.74994373321533,1.7345487,3588.1731145847007
83,0.4358723,6.1322737,3587.8338261516146,8.971746921539307,2.7471285,3588.221633502801,14.902397155761719,2.3036134,3588.540451838363,27.96473503112793,1.8997597,3588.730580813121,40.48023796081543,1.7241395,3588.9994171051176
84,0.12736198,6.221343,3588.660050538984,7.208783149719238,2.783486,3589.047947196394,10.618359088897705,2.3183677,3589.3668389510435,16.58720350265503,1.8985003,3589.5570117096563,31.916733741760254,1.7228584,3589.825909910624
85,0.13758714,6.3586063,3589.486465193457,2.9192087054252625,2.828529,3589.874451177657,13.663807392120361,2.3246698,3590.193416368301,28.914175987243652,1.895321,3590.383632920851,35.15334606170654,1.7225556,3590.6525930450466
86,0.5563452,6.1307344,3590.3130701588425,10.735200881958008,2.749429,3590.7011454904027,16.231953144073486,2.2832143,3591.0201841339517,33.87910175323486,1.8815202,3591.2104444905253,35.76811599731445,1.7160845,3591.4794665522086
87,0.2282008,6.2559266,3591.1398654789728,9.154693603515625,2.8050208,3591.528030178469,17.551318168640137,2.3128836,3591.847142291839,36.03298568725586,1.8947593,3592.0374464625224,38.59018516540527,1.727594,3592.3065304759566
88,0.39233357,6.2472115,3591.966851197678,7.9539055824279785,2.8140805,3592.3551052856897,20.58575439453125,2.3215926,3592.674290885799,39.29446220397949,1.9006896,3592.864638880683,43.67756462097168,1.7361822,3593.1337848601347
89,0.24369083,6.261146,3592.794027358809,8.55924129486084,2.8178747,3593.1823708559223,15.372026443481445,2.3292058,3593.501629959694,30.77392864227295,1.9021939,3593.6920217888696,45.145456314086914,1.7347192,3593.9612297486087
90,0.46244192,6.2252126,3593.6213940062166,8.225150346755981,2.7999742,3594.0098269330197,20.151512145996094,2.315482,3594.329159557381,40.29318809509277,1.8889222,3594.5195952309427,40.2973518371582,1.7277007,3594.7888651852427
